# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
1.23031e+18 3.70991e+20 2.77138e+16 8.12306e+17 1.27049e+17 6869950000000000.0 1.75841e+17 9859790000000000.0 245845000000000.0 1.44779e+18 3456590000000000.0 172443000000000.0 79757800000000.0 2.16197e+16 2.3727e+16 4.3741e+16 2.6342e+16 -3.94 [-3.94]
1.23046e+18 3.51444e+20 2.7677e+16 7.72244e+17 1.18075e+17 6954770000000000.0 1.67733e+17 8889470000000000.0 264767000000000.0 1.37378e+18 2923750000000000.0 139247000000000.0 79778200000000.0 2.14072e+16 2.25627e+16 4.12865e+16 2.44671e+16 -3.92 [-3.92]
1.2303e+18 3.32732e+20 2.76265e+16 7.33535e+17 1.09657e+17 7039970000000000.0 1.59881e+17 8001700000000000.0 284765000000000.0 1.30247e+18 2473370000000000.0 112590000000000.0 79747700000000.0 2.11703e+16 2.14329e+16 3.89703e+16 2.26548e+16 -3.9 [-3.9]
1.23043e+18 3.15158e+20 2.75745e+16 6.96943e+17 1.01845e+17 7130090000000000.0 1.52421e+17 7203010000000000.0 306422000000000.0 1.23497e+18 2095020000000000.0 91182000000000.0 79701400000000.0 2.09244e+16 2.03517e+16 3.6804e+16 2.09536e+16 -3.88 [-3.88]
1.23045e+18 2.98588e+20 2.75221e+16 6.62214e+17 9.45707e+16 7224000000000000.0 1.45295e+17 6484630000000000.0 329688000000000.0 1.17077e+18 1777640000000000.0 74004200000000.0 79628700000000.0 2.06746e+16 1.9311e+16 3.47637e+16 1.93548e+16 -3.86 [-3.86]
1.23042e+18 2.82912e+20 2.74625e+16 6.29138e+17 8.77962e+16 7319540000000000.0 1.38472e+17 5836190000000000.0 354433000000000.0 1.10964e+18 1509940000000000.0 60160400000000.0 79523100000000.0 2.04095e+16 1.83148e+16 3.2846e+16 1.78437e+16 -3.84 [-3.84]
1.23037e+18 2.682e+20 2.74053e+16 5.9794e+17 8.15008e+16 7417920000000000.0 1.31996e+17 5251140000000000.0 380862000000000.0 1.05197e+18 1282260000000000.0 48872700000000.0 79404500000000.0 2.0139e+16 1.73654e+16 3.10512e+16 1.64337e+16 -3.82 [-3.82]
1.23043e+18 2.54161e+20 2.73401e+16 5.67971e+17 7.55955e+16 7521040000000000.0 1.25735e+17 4720140000000000.0 409469000000000.0 9.965e+17 1090020000000000.0 39772300000000.0 79237100000000.0 1.98696e+16 1.64449e+16 2.93339e+16 1.50953e+16 -3.8 [-3.8]
1.23029e+18 2.4094e+20 2.72756e+16 5.39615e+17 7.00943e+16 7625160000000000.0 1.19778e+17 4239030000000000.0 439627000000000.0 9.44042e+17 926246000000000.0 32347500000000.0 79053500000000.0 1.95895e+16 1.55749e+16 2.77225e+16 1.38408e+16 -3.78 [-3.78]
1.23029e+18 2.28329e+20 2.72222e+16 5.12466e+17 6.48713e+16 7736200000000000.0 1.14047e+17 3794230000000000.0 472420000000000.0 8.93829e+17 784413000000000.0 26192300000000.0 78870700000000.0 1.93129e+16 1.47428e+16 2.61807e+16 1.26439e+16 -3.76 [-3.76]
1.23027e+18 2.16551e+20 2.71655e+16 4.86944e+17 6.00926e+16 7846520000000000.0 1.0861e+17 3403780000000000.0 506945000000000.0 8.46553e+17 666640000000000.0 21295300000000.0 78652300000000.0 1.90335e+16 1.39508e+16 2.47348e+16 1.15503e+16 -3.74 [-3.74]
1.23034e+18 2.05376e+20 2.71141e+16 4.62605e+17 5.56166e+16 7960390000000000.0 1.03388e+17 3050840000000000.0 543813000000000.0 8.01424e+17 566478000000000.0 17314700000000.0 78416800000000.0 1.87581e+16 1.31927e+16 2.33533e+16 1.05245e+16 -3.72 [-3.72]
1.23035e+18 1.95021e+20 2.70635e+16 4.39951e+17 5.15277e+16 8074260000000000.0 9.84898e+16 2738630000000000.0 582672000000000.0 7.59455e+17 481743000000000.0 14080900000000.0 78172000000000.0 1.84795e+16 1.24818e+16 2.20737e+16 9593560000000000.0 -3.7 [-3.7]
1.2303e+18 1.8501e+20 2.70164e+16 4.17947e+17 4.762e+16 8192780000000000.0 9.37033e+16 2450430000000000.0 624345000000000.0 7.18654e+17 408870000000000.0 11428600000000.0 77883700000000.0 1.82062e+16 1.1793e+16 2.08224e+16 8701150000000000.0 -3.68 [-3.68]
1.23037e+18 1.75574e+20 2.69745e+16 3.97107e+17 4.39889e+16 8313630000000000.0 8.91368e+16 2191850000000000.0 668657000000000.0 6.80007e+17 346961000000000.0 9273600000000.0 77578600000000.0 1.79367e+16 1.11376e+16 1.96342e+16 7876570000000000.0 -3.66 [-3.66]
1.23028e+18 1.66655e+20 2.69293e+16 3.77308e+17 4.06237e+16 8434240000000000.0 8.47647e+16 1960850000000000.0 715223000000000.0 6.43276e+17 294599000000000.0 7533000000000.0 77230800000000.0 1.767e+16 1.05103e+16 1.85015e+16 7116870000000000.0 -3.64 [-3.64]
1.23029e+18 1.58256e+20 2.68925e+16 3.58585e+17 3.74927e+16 8556510000000000.0 8.06009e+16 1753380000000000.0 764607000000000.0 6.08538e+17 249946000000000.0 6113400000000.0 76874200000000.0 1.74059e+16 9914680000000000.0 1.74265e+16 6419410000000000.0 -3.62 [-3.62]
1.2304e+18 1.50305e+20 2.68617e+16 3.4078e+17 3.45724e+16 8680440000000000.0 7.66148e+16 1566640000000000.0 816861000000000.0 5.75498e+17 211914000000000.0 4959200000000.0 76496200000000.0 1.71459e+16 9346780000000000.0 1.6399e+16 5775680000000000.0 -3.6 [-3.6]
1.23036e+18 1.42878e+20 2.68296e+16 3.24067e+17 3.19017e+16 8802350000000000.0 7.28444e+16 1401660000000000.0 871437000000000.0 5.44513e+17 179797000000000.0 4025030000000.0 76098800000000.0 1.68862e+16 8807940000000000.0 1.54352e+16 5196970000000000.0 -3.58 [-3.58]
1.23028e+18 1.35693e+20 2.67995e+16 3.07832e+17 2.93505e+16 8925410000000000.0 6.9164e+16 1249210000000000.0 929046000000000.0 5.14422e+17 152028000000000.0 3257910000000.0 75640400000000.0 1.66292e+16 8288880000000000.0 1.449e+16 4647570000000000.0 -3.56 [-3.56]
1.23034e+18 1.29067e+20 2.67724e+16 2.92782e+17 2.70572e+16 9047290000000000.0 6.57216e+16 1117570000000000.0 989311000000000.0 4.86512e+17 129084000000000.0 2649480000000.0 75186400000000.0 1.63751e+16 7799670000000000.0 1.36156e+16 4166190000000000.0 -3.54 [-3.54]
