#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string
000000173	F	F	                  ok	0	885	-4.980000	0.600000	-4.980000, 0.600000
000000174	F	F	                  ok	2	1451	-4.980000	0.650000	-4.980000, 0.650000
000000175	F	F	                  ok	3	483	-4.980000	0.700000	-4.980000, 0.700000
000000176	F	F	                  ok	3	52	-4.980000	0.750000	-4.980000, 0.750000
000000177	F	F	                  ok	0	1353	-4.980000	0.800000	-4.980000, 0.800000
000000178	F	F	                  ok	6	127	-4.980000	0.850000	-4.980000, 0.850000
000000179	F	F	                  ok	5	364	-4.980000	0.900000	-4.980000, 0.900000
000000180	F	F	                  ok	3	437	-4.980000	0.950000	-4.980000, 0.950000
000000181	F	F	                  ok	5	795	-4.980000	1.000000	-4.980000, 1.000000
000000182	F	F	                  ok	9	402	-4.980000	1.050000	-4.980000, 1.050000
000000183	F	F	                  ok	3	856	-4.980000	1.100000	-4.980000, 1.100000
000000184	F	F	                  ok	2	406	-4.980000	1.150000	-4.980000, 1.150000


000000186	F	F	                  ok	4	674	-4.980000	1.250000	-4.980000, 1.250000


000000188	F	F	                  ok	11	1047	-4.980000	1.350000	-4.980000, 1.350000
000000189	F	F	                  ok	11	1408	-4.980000	1.400000	-4.980000, 1.400000
000000190	F	F	                  ok	9	1112	-4.980000	1.450000	-4.980000, 1.450000
000000191	F	F	                  ok	7	1022	-4.980000	1.500000	-4.980000, 1.500000
000000192	F	F	                  ok	8	531	-4.980000	1.550000	-4.980000, 1.550000
000000193	F	F	                  ok	3	963	-4.980000	1.600000	-4.980000, 1.600000
000000194	F	F	                  ok	7	906	-4.980000	1.650000	-4.980000, 1.650000
000000195	F	F	                  ok	11	640	-4.980000	1.700000	-4.980000, 1.700000
000000196	F	F	                  ok	2	1207	-4.980000	1.750000	-4.980000, 1.750000
000000197	F	F	                  ok	5	1482	-4.980000	1.800000	-4.980000, 1.800000
000000198	F	F	                  ok	2	682	-4.980000	1.850000	-4.980000, 1.850000
000000199	F	F	                  ok	4	812	-4.980000	1.900000	-4.980000, 1.900000
000000200	F	F	                  ok	8	661	-4.980000	1.950000	-4.980000, 1.950000
000000201	F	F	                  ok	7	1283	-4.980000	2.000000	-4.980000, 2.000000
000000202	F	F	                  ok	5	236	-4.960000	-3.000000	-4.960000, -3.000000
000000203	F	F	                  ok	5	63	-4.960000	-2.950000	-4.960000, -2.950000
000000204	F	F	                  ok	11	236	-4.960000	-2.900000	-4.960000, -2.900000
000000205	F	F	                  ok	0	1299	-4.960000	-2.850000	-4.960000, -2.850000


000000207	F	F	                  ok	0	109	-4.960000	-2.750000	-4.960000, -2.750000
000000208	F	F	                  ok	5	796	-4.960000	-2.700000	-4.960000, -2.700000
000000209	F	F	                  ok	10	194	-4.960000	-2.650000	-4.960000, -2.650000




000000212	F	F	                  ok	11	1290	-4.960000	-2.500000	-4.960000, -2.500000
000000213	F	F	                  ok	7	1904	-4.960000	-2.450000	-4.960000, -2.450000






000000217	F	F	                  ok	2	1600	-4.960000	-2.250000	-4.960000, -2.250000
000000218	F	F	                  ok	6	1871	-4.960000	-2.200000	-4.960000, -2.200000
000000219	F	F	                  ok	5	1796	-4.960000	-2.150000	-4.960000, -2.150000
000000220	F	F	                  ok	3	1034	-4.960000	-2.100000	-4.960000, -2.100000
000000221	F	F	                  ok	5	1148	-4.960000	-2.050000	-4.960000, -2.050000




000000224	F	F	                  ok	3	717	-4.960000	-1.900000	-4.960000, -1.900000
000000225	F	F	                  ok	2	1794	-4.960000	-1.850000	-4.960000, -1.850000
000000226	F	F	                  ok	6	1899	-4.960000	-1.800000	-4.960000, -1.800000
000000227	F	F	                  ok	1	7	-4.960000	-1.750000	-4.960000, -1.750000
000000228	F	F	                  ok	7	1343	-4.960000	-1.700000	-4.960000, -1.700000
000000229	F	F	                  ok	0	1199	-4.960000	-1.650000	-4.960000, -1.650000
000000230	F	F	                  ok	4	322	-4.960000	-1.600000	-4.960000, -1.600000
000000231	F	F	                  ok	5	779	-4.960000	-1.550000	-4.960000, -1.550000
000000232	F	F	                  ok	5	1689	-4.960000	-1.500000	-4.960000, -1.500000
000000233	F	F	                  ok	5	1402	-4.960000	-1.450000	-4.960000, -1.450000
000000234	F	F	                  ok	2	1036	-4.960000	-1.400000	-4.960000, -1.400000
000000235	F	F	                  ok	11	1877	-4.960000	-1.350000	-4.960000, -1.350000
000000236	F	F	                  ok	0	343	-4.960000	-1.300000	-4.960000, -1.300000
000000237	F	F	                  ok	4	336	-4.960000	-1.250000	-4.960000, -1.250000
000000238	F	F	                  ok	8	264	-4.960000	-1.200000	-4.960000, -1.200000
000000239	F	F	                  ok	0	420	-4.960000	-1.150000	-4.960000, -1.150000




000000242	F	F	                  ok	6	1853	-4.960000	-1.000000	-4.960000, -1.000000
000000243	F	F	                  ok	3	840	-4.960000	-0.950000	-4.960000, -0.950000
000000244	F	F	                  ok	11	1076	-4.960000	-0.900000	-4.960000, -0.900000
000000245	F	F	                  ok	11	381	-4.960000	-0.850000	-4.960000, -0.850000
000000246	F	F	                  ok	4	188	-4.960000	-0.800000	-4.960000, -0.800000
000000247	F	F	                  ok	2	784	-4.960000	-0.750000	-4.960000, -0.750000


000000249	F	F	                  ok	6	640	-4.960000	-0.650000	-4.960000, -0.650000
000000250	F	F	                  ok	6	1986	-4.960000	-0.600000	-4.960000, -0.600000
000000251	F	F	                  ok	9	963	-4.960000	-0.550000	-4.960000, -0.550000
000000252	F	F	                  ok	4	1909	-4.960000	-0.500000	-4.960000, -0.500000




000000255	F	F	                  ok	11	1188	-4.960000	-0.350000	-4.960000, -0.350000
000000256	F	F	                  ok	0	785	-4.960000	-0.300000	-4.960000, -0.300000
000000257	F	F	                  ok	3	659	-4.960000	-0.250000	-4.960000, -0.250000
000000258	F	F	                  ok	9	1062	-4.960000	-0.200000	-4.960000, -0.200000


000000260	F	F	                  ok	4	57	-4.960000	-0.100000	-4.960000, -0.100000
000000261	F	F	                  ok	1	543	-4.960000	-0.050000	-4.960000, -0.050000
000000262	F	F	                  ok	0	442	-4.960000	0.000000	-4.960000, 0.000000
000000263	F	F	                  ok	9	2048	-4.960000	0.050000	-4.960000, 0.050000


000000265	F	F	                  ok	5	1936	-4.960000	0.150000	-4.960000, 0.150000
000000266	F	F	                  ok	0	118	-4.960000	0.200000	-4.960000, 0.200000
000000267	F	F	                  ok	4	653	-4.960000	0.250000	-4.960000, 0.250000
000000268	F	F	                  ok	11	93	-4.960000	0.300000	-4.960000, 0.300000
000000269	F	F	                  ok	6	697	-4.960000	0.350000	-4.960000, 0.350000
000000270	F	F	                  ok	11	122	-4.960000	0.400000	-4.960000, 0.400000


000000272	F	F	                  ok	5	2108	-4.960000	0.500000	-4.960000, 0.500000
000000273	F	F	                  ok	8	838	-4.960000	0.550000	-4.960000, 0.550000
000000274	F	F	                  ok	11	755	-4.960000	0.600000	-4.960000, 0.600000
000000275	F	F	                  ok	7	1481	-4.960000	0.650000	-4.960000, 0.650000
000000276	F	F	                  ok	7	1648	-4.960000	0.700000	-4.960000, 0.700000
000000277	F	F	                  ok	0	424	-4.960000	0.750000	-4.960000, 0.750000
000000278	F	F	                  ok	4	1595	-4.960000	0.800000	-4.960000, 0.800000


