H	H+	C+2	C+3	O+6	Si+2	Si+3
1.34896e+14	7.62784e+20	2.06859e+08	4.01732e+11	1.03434e+16	2.82005e+04	3.24952e+07
1.34896e+14	8.77474e+20	1.56253e+08	3.78613e+11	1.12321e+16	6.65944e+03	9.29906e+06
1.34896e+14	1.00746e+21	1.08962e+08	3.24976e+11	1.22101e+16	1.32452e+03	2.22794e+06
1.34896e+14	1.15467e+21	6.98353e+07	2.52517e+11	1.32175e+16	2.16773e+02	4.36638e+05
1.34896e+14	1.32127e+21	4.09714e+07	1.77570e+11	1.40763e+16	2.84966e+01	6.84073e+04
1.34896e+14	1.50978e+21	2.22392e+07	1.14945e+11	1.44756e+16	3.01612e+00	8.59954e+03
1.34896e+14	1.72301e+21	1.15351e+07	7.09077e+10	1.40603e+16	2.71446e-01	9.16651e+02
1.34896e+14	1.96408e+21	5.86316e+06	4.27014e+10	1.26397e+16	2.25623e-02	8.99712e+01
1.34896e+14	2.23680e+21	2.96995e+06	2.55039e+10	1.03875e+16	1.86284e-03	8.74705e+00
1.34896e+14	2.54541e+21	1.51370e+06	1.52544e+10	7.80290e+15	1.60346e-04	8.84221e-01
1.34896e+14	2.89470e+21	7.80066e+05	9.18687e+09	5.43242e+15	1.48001e-05	9.56201e-02
1.34896e+14	3.29035e+21	4.07439e+05	5.58926e+09	3.59792e+15	1.48711e-06	1.12330e-02
1.34896e+14	3.73892e+21	2.15773e+05	3.43903e+09	2.31419e+15	1.63583e-07	1.44201e-03
1.34896e+14	4.24791e+21	1.15874e+05	2.14156e+09	1.47350e+15	1.96927e-08	2.02269e-04
1.34896e+14	4.82592e+21	6.31239e+04	1.35074e+09	9.43115e+14	2.58151e-09	3.08536e-05
1.34896e+14	5.48298e+21	3.48761e+04	8.62953e+08	6.11201e+14	3.70118e-10	5.06551e-06
1.34896e+14	6.23061e+21	1.95371e+04	5.58403e+08	4.03027e+14	5.56231e-11	8.83253e-07
1.34896e+14	7.08219e+21	1.10903e+04	3.65886e+08	2.71179e+14	8.74848e-12	1.61002e-07
1.34896e+14	8.05322e+21	6.37314e+03	2.42582e+08	1.86253e+14	1.19584e-13	3.01428e-08
1.34896e+14	9.16158e+21	3.70253e+03	1.62559e+08	1.30471e+14	1.95337e-14	5.69028e-09
1.34896e+14	1.04282e+22	2.17124e+03	1.09971e+08	9.30639e+13	3.20984e-15	1.07993e-09
1.34896e+14	4.02218e+18	3.52441e+11	5.00239e+12	7.26998e+13	4.24344e+07	2.52713e+09
1.34896e+14	4.36952e+18	3.17606e+11	4.92161e+12	8.22976e+13	3.57753e+07	2.12867e+09
1.34896e+14	4.74947e+18	2.91769e+11	4.83125e+12	9.30508e+13	3.13343e+07	1.78552e+09
1.34896e+14	5.16545e+18	2.76858e+11	4.73153e+12	1.05078e+14	2.89753e+07	1.49028e+09
1.34896e+14	5.62129e+18	2.74219e+11	4.62277e+12	1.18468e+14	2.83991e+07	1.23707e+09
1.34896e+14	6.12139e+18	2.84076e+11	4.50562e+12	1.33272e+14	2.91206e+07	1.02125e+09
1.34896e+14	6.67067e+18	3.05179e+11	4.38092e+12	1.49499e+14	3.05265e+07	8.39057e+08
1.34896e+14	7.27553e+18	3.34843e+11	4.25016e+12	1.67158e+14	3.19991e+07	6.87189e+08
1.34896e+14	7.94384e+18	3.69298e+11	4.11516e+12	1.86300e+14	3.30462e+07	5.62389e+08
1.34896e+14	8.68587e+18	4.04337e+11	3.97814e+12	2.07080e+14	3.33797e+07	4.61258e+08
1.34896e+14	9.51541e+18	4.36016e+11	3.84170e+12	2.29823e+14	3.29174e+07	3.80256e+08
1.34896e+14	1.04508e+19	4.61227e+11	3.70858e+12	2.55052e+14	3.17268e+07	3.15872e+08
1.34896e+14	1.15171e+19	4.78051e+11	3.58181e+12	2.83528e+14	2.99563e+07	2.64876e+08
1.34896e+14	1.27474e+19	4.85768e+11	3.46419e+12	3.16250e+14	2.77807e+07	2.24514e+08
1.34896e+14	1.41843e+19	4.84661e+11	3.35818e+12	3.54479e+14	2.53793e+07	1.92679e+08
1.34896e+14	1.58820e+19	4.75652e+11	3.26560e+12	3.99763e+14	2.28843e+07	1.67621e+08
1.34896e+14	1.79073e+19	4.59884e+11	3.18741e+12	4.53963e+14	2.05485e+07	1.49178e+08
1.34896e+14	2.03419e+19	4.38337e+11	3.12358e+12	5.19288e+14	1.85482e+07	1.37319e+08
1.34896e+14	2.32836e+19	4.11510e+11	3.07264e+12	5.98282e+14	1.70229e+07	1.32587e+08
1.34896e+14	2.68474e+19	3.79308e+11	3.03123e+12	6.93810e+14	1.60493e+07	1.36117e+08
1.34896e+14	3.11673e+19	3.41217e+11	2.99328e+12	8.09007e+14	1.56241e+07	1.49744e+08
1.34896e+14	3.63984e+19	2.96687e+11	2.94640e+12	9.47227e+14	1.56597e+07	1.76146e+08
1.34896e+14	4.27173e+19	2.46915e+11	2.87928e+12	1.11194e+15	1.60000e+07	2.18914e+08
1.34896e+14	5.03254e+19	1.94633e+11	2.77439e+12	1.30665e+15	1.64729e+07	2.82731e+08
1.34896e+14	5.94503e+19	1.44191e+11	2.61493e+12	1.53486e+15	1.69666e+07	3.74166e+08
1.34896e+14	7.03492e+19	1.00106e+11	2.39218e+12	1.79996e+15	1.74699e+07	5.03304e+08
1.34896e+14	8.33132e+19	6.53269e+10	2.11300e+12	2.10524e+15	1.80155e+07	6.84660e+08
1.34896e+14	9.86633e+19	4.04112e+10	1.80034e+12	2.45363e+15	1.85547e+07	9.33940e+08
1.34896e+14	1.16761e+20	2.39948e+10	1.48537e+12	2.84766e+15	1.88910e+07	1.25896e+09
1.34896e+14	1.38010e+20	1.38746e+10	1.19570e+12	3.28907e+15	1.87308e+07	1.64695e+09
1.34896e+14	1.62863e+20	7.92689e+09	9.48185e+11	3.77828e+15	1.78012e+07	2.05352e+09
1.34896e+14	1.91825e+20	4.53825e+09	7.48874e+11	4.31387e+15	1.59590e+07	2.39850e+09
1.34896e+14	2.25444e+20	2.64221e+09	5.96688e+11	4.89191e+15	1.32642e+07	2.57711e+09
1.34896e+14	2.64367e+20	1.59642e+09	4.88583e+11	5.50790e+15	1.00303e+07	2.49878e+09
