#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string
000000165	F	F	                  ok	9	1547	-4.980000	0.200000	-4.980000, 0.200000
000000166	F	F	                  ok	0	281	-4.980000	0.250000	-4.980000, 0.250000
000000167	F	F	                  ok	10	1328	-4.980000	0.300000	-4.980000, 0.300000
000000168	F	F	                  ok	1	1925	-4.980000	0.350000	-4.980000, 0.350000
000000169	F	F	                  ok	1	1409	-4.980000	0.400000	-4.980000, 0.400000
000000170	F	F	                  ok	0	1818	-4.980000	0.450000	-4.980000, 0.450000
000000171	F	F	                  ok	6	1596	-4.980000	0.500000	-4.980000, 0.500000
000000172	F	F	                  ok	2	428	-4.980000	0.550000	-4.980000, 0.550000
000000173	F	F	                  ok	9	588	-4.980000	0.600000	-4.980000, 0.600000
000000174	F	F	                  ok	7	1796	-4.980000	0.650000	-4.980000, 0.650000
000000175	F	F	                  ok	10	193	-4.980000	0.700000	-4.980000, 0.700000
000000176	F	F	                  ok	4	2064	-4.980000	0.750000	-4.980000, 0.750000
000000177	F	F	                  ok	7	1485	-4.980000	0.800000	-4.980000, 0.800000
000000178	F	F	                  ok	3	391	-4.980000	0.850000	-4.980000, 0.850000
000000179	F	F	                  ok	5	660	-4.980000	0.900000	-4.980000, 0.900000
000000180	F	F	                  ok	7	1356	-4.980000	0.950000	-4.980000, 0.950000
000000181	F	F	                  ok	5	1202	-4.980000	1.000000	-4.980000, 1.000000
000000182	F	F	                  ok	3	1803	-4.980000	1.050000	-4.980000, 1.050000
000000183	F	F	                  ok	0	1229	-4.980000	1.100000	-4.980000, 1.100000
000000184	F	F	                  ok	10	1884	-4.980000	1.150000	-4.980000, 1.150000
000000185	F	F	                  ok	11	382	-4.980000	1.200000	-4.980000, 1.200000
000000186	F	F	                  ok	5	1335	-4.980000	1.250000	-4.980000, 1.250000
000000187	F	F	                  ok	11	1600	-4.980000	1.300000	-4.980000, 1.300000
000000188	F	F	                  ok	2	1829	-4.980000	1.350000	-4.980000, 1.350000
000000189	F	F	                  ok	6	531	-4.980000	1.400000	-4.980000, 1.400000
000000190	F	F	                  ok	1	1576	-4.980000	1.450000	-4.980000, 1.450000
000000191	F	F	                  ok	10	1780	-4.980000	1.500000	-4.980000, 1.500000
000000192	F	F	                  ok	10	877	-4.980000	1.550000	-4.980000, 1.550000
000000193	F	F	                  ok	4	2062	-4.980000	1.600000	-4.980000, 1.600000
000000194	F	F	                  ok	2	1502	-4.980000	1.650000	-4.980000, 1.650000
000000195	F	F	                  ok	11	451	-4.980000	1.700000	-4.980000, 1.700000
000000196	F	F	                  ok	11	1908	-4.980000	1.750000	-4.980000, 1.750000
000000197	F	F	                  ok	6	1739	-4.980000	1.800000	-4.980000, 1.800000
000000198	F	F	                  ok	9	245	-4.980000	1.850000	-4.980000, 1.850000
000000199	F	F	                  ok	0	412	-4.980000	1.900000	-4.980000, 1.900000
000000200	F	F	                  ok	9	2011	-4.980000	1.950000	-4.980000, 1.950000
000000201	F	F	                  ok	9	122	-4.980000	2.000000	-4.980000, 2.000000
000000202	F	F	                  ok	8	1076	-4.960000	-3.000000	-4.960000, -3.000000
000000203	F	F	                  ok	11	1873	-4.960000	-2.950000	-4.960000, -2.950000
000000204	F	F	                  ok	1	1408	-4.960000	-2.900000	-4.960000, -2.900000
000000205	F	F	                  ok	6	580	-4.960000	-2.850000	-4.960000, -2.850000
000000206	F	F	                  ok	7	1653	-4.960000	-2.800000	-4.960000, -2.800000
000000207	F	F	                  ok	5	464	-4.960000	-2.750000	-4.960000, -2.750000
000000208	F	F	                  ok	6	920	-4.960000	-2.700000	-4.960000, -2.700000
000000209	F	F	                  ok	8	1770	-4.960000	-2.650000	-4.960000, -2.650000
000000210	F	F	                  ok	11	1955	-4.960000	-2.600000	-4.960000, -2.600000
000000211	F	F	                  ok	7	2025	-4.960000	-2.550000	-4.960000, -2.550000
000000212	F	F	                  ok	10	1444	-4.960000	-2.500000	-4.960000, -2.500000
000000213	F	F	                  ok	6	57	-4.960000	-2.450000	-4.960000, -2.450000
000000214	F	F	                  ok	7	393	-4.960000	-2.400000	-4.960000, -2.400000
000000215	F	F	                  ok	4	1173	-4.960000	-2.350000	-4.960000, -2.350000
000000216	F	F	                  ok	1	1493	-4.960000	-2.300000	-4.960000, -2.300000
000000217	F	F	                  ok	5	1817	-4.960000	-2.250000	-4.960000, -2.250000
000000218	F	F	                  ok	3	1451	-4.960000	-2.200000	-4.960000, -2.200000
000000219	F	F	                  ok	2	35	-4.960000	-2.150000	-4.960000, -2.150000
000000220	F	F	                  ok	7	978	-4.960000	-2.100000	-4.960000, -2.100000
000000221	F	F	                  ok	10	828	-4.960000	-2.050000	-4.960000, -2.050000
000000222	F	F	                  ok	2	1278	-4.960000	-2.000000	-4.960000, -2.000000
000000223	F	F	                  ok	0	1566	-4.960000	-1.950000	-4.960000, -1.950000
000000224	F	F	                  ok	10	103	-4.960000	-1.900000	-4.960000, -1.900000
000000225	F	F	                  ok	0	450	-4.960000	-1.850000	-4.960000, -1.850000
000000226	F	F	                  ok	7	1987	-4.960000	-1.800000	-4.960000, -1.800000
000000227	F	F	                  ok	6	1066	-4.960000	-1.750000	-4.960000, -1.750000
000000228	F	F	                  ok	8	1810	-4.960000	-1.700000	-4.960000, -1.700000
000000229	F	F	                  ok	0	1565	-4.960000	-1.650000	-4.960000, -1.650000
000000230	F	F	                  ok	11	154	-4.960000	-1.600000	-4.960000, -1.600000
000000231	F	F	                  ok	7	1125	-4.960000	-1.550000	-4.960000, -1.550000
000000232	F	F	                  ok	10	1368	-4.960000	-1.500000	-4.960000, -1.500000
000000233	F	F	                  ok	0	1363	-4.960000	-1.450000	-4.960000, -1.450000
000000234	F	F	                  ok	7	1384	-4.960000	-1.400000	-4.960000, -1.400000
000000235	F	F	                  ok	9	603	-4.960000	-1.350000	-4.960000, -1.350000
000000236	F	F	                  ok	8	1530	-4.960000	-1.300000	-4.960000, -1.300000
000000237	F	F	                  ok	3	793	-4.960000	-1.250000	-4.960000, -1.250000
000000238	F	F	                  ok	7	722	-4.960000	-1.200000	-4.960000, -1.200000
000000239	F	F	                  ok	7	1844	-4.960000	-1.150000	-4.960000, -1.150000
000000240	F	F	                  ok	5	844	-4.960000	-1.100000	-4.960000, -1.100000
000000241	F	F	                  ok	6	228	-4.960000	-1.050000	-4.960000, -1.050000
000000242	F	F	                  ok	0	1645	-4.960000	-1.000000	-4.960000, -1.000000
000000243	F	F	                  ok	6	509	-4.960000	-0.950000	-4.960000, -0.950000
000000244	F	F	                  ok	0	896	-4.960000	-0.900000	-4.960000, -0.900000
000000245	F	F	                  ok	5	681	-4.960000	-0.850000	-4.960000, -0.850000
000000246	F	F	                  ok	8	1955	-4.960000	-0.800000	-4.960000, -0.800000
000000247	F	F	                  ok	11	491	-4.960000	-0.750000	-4.960000, -0.750000
000000248	F	F	                  ok	6	61	-4.960000	-0.700000	-4.960000, -0.700000
000000249	F	F	                  ok	0	915	-4.960000	-0.650000	-4.960000, -0.650000
000000250	F	F	                  ok	10	1499	-4.960000	-0.600000	-4.960000, -0.600000
000000251	F	F	                  ok	4	638	-4.960000	-0.550000	-4.960000, -0.550000
000000252	F	F	                  ok	10	658	-4.960000	-0.500000	-4.960000, -0.500000
000000253	F	F	                  ok	10	934	-4.960000	-0.450000	-4.960000, -0.450000
000000254	F	F	                  ok	10	1977	-4.960000	-0.400000	-4.960000, -0.400000
000000255	F	F	                  ok	1	213	-4.960000	-0.350000	-4.960000, -0.350000
000000256	F	F	                  ok	8	1786	-4.960000	-0.300000	-4.960000, -0.300000
000000257	F	F	                  ok	0	1233	-4.960000	-0.250000	-4.960000, -0.250000
000000258	F	F	                  ok	7	941	-4.960000	-0.200000	-4.960000, -0.200000
000000259	F	F	                  ok	7	1303	-4.960000	-0.150000	-4.960000, -0.150000
000000260	F	F	                  ok	4	1434	-4.960000	-0.100000	-4.960000, -0.100000
000000261	F	F	                  ok	7	1804	-4.960000	-0.050000	-4.960000, -0.050000
000000262	F	F	                  ok	1	1295	-4.960000	0.000000	-4.960000, 0.000000
000000263	F	F	                  ok	3	2056	-4.960000	0.050000	-4.960000, 0.050000
000000264	F	F	                  ok	11	1244	-4.960000	0.100000	-4.960000, 0.100000
000000265	F	F	                  ok	8	125	-4.960000	0.150000	-4.960000, 0.150000
000000266	F	F	                  ok	3	1640	-4.960000	0.200000	-4.960000, 0.200000
000000267	F	F	                  ok	8	2061	-4.960000	0.250000	-4.960000, 0.250000
000000268	F	F	                  ok	9	1162	-4.960000	0.300000	-4.960000, 0.300000
000000269	F	F	                  ok	10	898	-4.960000	0.350000	-4.960000, 0.350000
000000270	F	F	                  ok	11	739	-4.960000	0.400000	-4.960000, 0.400000
000000271	F	F	                  ok	7	745	-4.960000	0.450000	-4.960000, 0.450000
000000272	F	F	                  ok	4	543	-4.960000	0.500000	-4.960000, 0.500000
000000273	F	F	                  ok	6	792	-4.960000	0.550000	-4.960000, 0.550000
000000274	F	F	                  ok	10	1902	-4.960000	0.600000	-4.960000, 0.600000
000000275	F	F	                  ok	0	1143	-4.960000	0.650000	-4.960000, 0.650000
000000276	F	F	                  ok	5	1625	-4.960000	0.700000	-4.960000, 0.700000
000000277	F	F	                  ok	5	1567	-4.960000	0.750000	-4.960000, 0.750000
000000278	F	F	                  ok	5	1949	-4.960000	0.800000	-4.960000, 0.800000
000000279	F	F	                  ok	3	458	-4.960000	0.850000	-4.960000, 0.850000
000000280	F	F	                  ok	5	1072	-4.960000	0.900000	-4.960000, 0.900000
000000281	F	F	                  ok	9	847	-4.960000	0.950000	-4.960000, 0.950000
000000282	F	F	                  ok	1	1443	-4.960000	1.000000	-4.960000, 1.000000
000000283	F	F	                  ok	1	38	-4.960000	1.050000	-4.960000, 1.050000
000000284	F	F	                  ok	5	1405	-4.960000	1.100000	-4.960000, 1.100000
000000285	F	F	                  ok	4	876	-4.960000	1.150000	-4.960000, 1.150000
000000286	F	F	                  ok	5	1738	-4.960000	1.200000	-4.960000, 1.200000
000000287	F	F	                  ok	4	1304	-4.960000	1.250000	-4.960000, 1.250000
000000288	F	F	                  ok	9	1689	-4.960000	1.300000	-4.960000, 1.300000
000000289	F	F	                  ok	5	1863	-4.960000	1.350000	-4.960000, 1.350000
000000290	F	F	                  ok	1	537	-4.960000	1.400000	-4.960000, 1.400000
