H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.25893e+16	3.47701e+16	8.41984e+14	1.41816e+14	1.07748e+11	0	0	1.24335e+14	2.67812e+11	3.81727e+11
1.25893e+16	3.45036e+16	9.19310e+14	1.49624e+14	1.13583e+11	0	0	1.35498e+14	2.87548e+11	4.08619e+11
1.25893e+16	3.42963e+16	1.00476e+15	1.57965e+14	1.19962e+11	0	0	1.47845e+14	3.09482e+11	4.38093e+11
1.25892e+16	5.03065e+17	7.07721e+10	6.73237e+10	2.59848e+08	0	0	7.15489e+09	9.13670e+09	3.91778e+08
1.25892e+16	5.03043e+17	7.75951e+10	7.38126e+10	2.84885e+08	0	0	7.84557e+09	1.00171e+10	4.29548e+08
1.25892e+16	5.03021e+17	8.50760e+10	8.09269e+10	3.12335e+08	0	0	8.60296e+09	1.09822e+10	4.70957e+08
1.25892e+16	5.02995e+17	9.32779e+10	8.87263e+10	3.42425e+08	0	0	9.43355e+09	1.20400e+10	5.16353e+08
1.25892e+16	5.02967e+17	1.02271e+11	9.72774e+10	3.75414e+08	0	0	1.03444e+10	1.31997e+10	5.66124e+08
1.25892e+16	5.02936e+17	1.12130e+11	1.06652e+11	4.11575e+08	0	0	1.13432e+10	1.44708e+10	6.20684e+08
1.25892e+16	5.02902e+17	1.22939e+11	1.16929e+11	4.51217e+08	0	0	1.24386e+10	1.58641e+10	6.80497e+08
1.25892e+16	5.02866e+17	1.34791e+11	1.28196e+11	4.94672e+08	0	0	1.36398e+10	1.73913e+10	7.46068e+08
1.25892e+16	5.02826e+17	1.47784e+11	1.40547e+11	5.42306e+08	0	0	1.49572e+10	1.90651e+10	8.17948e+08
1.25892e+16	5.02778e+17	1.62028e+11	1.54086e+11	5.94510e+08	0	0	1.64022e+10	2.08992e+10	8.96732e+08
1.25892e+16	5.02729e+17	1.77645e+11	1.68928e+11	6.51739e+08	0	0	1.79867e+10	2.29096e+10	9.83101e+08
1.25892e+16	5.02676e+17	1.94767e+11	1.85199e+11	7.14466e+08	0	0	1.97246e+10	2.51128e+10	1.07778e+09
1.25892e+16	5.02617e+17	2.13537e+11	2.03034e+11	7.83215e+08	0	0	2.16306e+10	2.75271e+10	1.18155e+09
1.25892e+16	5.02551e+17	2.34113e+11	2.22583e+11	8.58556e+08	0	0	2.37213e+10	3.01722e+10	1.29528e+09
1.25892e+16	5.02481e+17	2.56672e+11	2.44012e+11	9.41131e+08	0	0	2.60142e+10	3.30709e+10	1.41995e+09
1.25892e+16	5.02403e+17	2.81401e+11	2.67499e+11	1.03162e+09	0	0	2.85294e+10	3.62465e+10	1.55657e+09
1.25892e+16	5.02319e+17	3.08511e+11	2.93243e+11	1.13078e+09	0	0	3.12882e+10	3.97257e+10	1.70631e+09
1.25892e+16	5.02225e+17	3.38228e+11	3.21457e+11	1.23944e+09	0	0	3.43146e+10	4.35368e+10	1.87041e+09
1.25892e+16	5.02123e+17	3.70804e+11	3.52378e+11	1.35849e+09	0	0	3.76344e+10	4.77113e+10	2.05023e+09
1.25892e+16	5.02010e+17	4.06511e+11	3.86261e+11	1.48890e+09	0	0	4.12756e+10	5.22838e+10	2.24724e+09
1.25892e+16	5.01886e+17	4.45650e+11	4.23393e+11	1.63178e+09	0	0	4.52713e+10	5.72903e+10	2.46312e+09
1.25892e+16	5.01751e+17	4.88549e+11	4.64081e+11	1.78830e+09	0	0	4.96551e+10	6.27721e+10	2.69964e+09
