# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
933246000000000.0 1.35952e+18 41007500000000.0 1660540000000000.0 1137790000000000.0 2607790000000.0 224791000000000.0 241689000000000.0 4420940000.0 1002880000000000.0 239150000000000.0 21101300000000.0 18950700000.0 843805000000.0 9829280000000.0 66661900000000.0 233423000000000.0 -4.42 [-4.42]
933249000000000.0 1.24533e+18 42338800000000.0 1597890000000000.0 1026720000000000.0 2790370000000.0 218831000000000.0 209772000000000.0 5398320000.0 1014730000000000.0 186528000000000.0 15412700000000.0 22047100000.0 1015180000000.0 10462700000000.0 67553000000000.0 216087000000000.0 -4.4 [-4.4]
933252000000000.0 1.14501e+18 43413000000000.0 1534450000000000.0 928643000000000.0 2979420000000.0 213282000000000.0 182176000000000.0 6529890000.0 1023630000000000.0 146755000000000.0 11386800000000.0 25301700000.0 1207230000000.0 11070100000000.0 68099800000000.0 199758000000000.0 -4.38 [-4.38]
933253000000000.0 1.05641e+18 44271500000000.0 1471490000000000.0 841837000000000.0 3174080000000.0 208065000000000.0 158364000000000.0 7829410000.0 1029560000000000.0 116417000000000.0 8502900000000.0 28687100000.0 1420170000000.0 11648700000000.0 68338300000000.0 184461000000000.0 -4.36 [-4.36]
933251000000000.0 9.77349e+17 44945400000000.0 1409400000000000.0 764449000000000.0 3374120000000.0 203055000000000.0 137744000000000.0 9319170000.0 1032670000000000.0 92948500000000.0 6402760000000.0 32190200000.0 1655300000000.0 12196600000000.0 68299600000000.0 170111000000000.0 -4.34 [-4.34]
933247000000000.0 9.06112e+17 45453600000000.0 1348280000000000.0 695040000000000.0 3579360000000.0 198146000000000.0 119827000000000.0 11026400000.0 1033130000000000.0 74572300000000.0 4851720000000.0 35796300000.0 1914070000000.0 12710300000000.0 68002300000000.0 156627000000000.0 -4.32 [-4.32]
933249000000000.0 8.41881e+17 45829400000000.0 1288880000000000.0 632775000000000.0 3789010000000.0 193342000000000.0 104298000000000.0 12969400000.0 1031070000000000.0 60130700000000.0 3700260000000.0 39473900000.0 2196180000000.0 13188400000000.0 67475400000000.0 144027000000000.0 -4.3 [-4.3]
933251000000000.0 7.83441e+17 46082500000000.0 1231040000000000.0 576561000000000.0 4003130000000.0 188565000000000.0 90776100000000.0 15183300000.0 1026680000000000.0 48652800000000.0 2834660000000.0 43207300000.0 2503350000000.0 13628500000000.0 66735500000000.0 132216000000000.0 -4.28 [-4.28]
933251000000000.0 7.30208e+17 46234800000000.0 1175110000000000.0 525779000000000.0 4220890000000.0 183818000000000.0 79021000000000.0 17693300000.0 1020100000000000.0 39502100000000.0 2181210000000.0 46965800000.0 2835220000000.0 14028900000000.0 65803500000000.0 121189000000000.0 -4.26 [-4.26]
933250000000000.0 6.8154e+17 46301100000000.0 1121170000000000.0 479800000000000.0 4440440000000.0 179082000000000.0 68794000000000.0 20534300000.0 1011490000000000.0 32167300000000.0 1684780000000.0 50724300000.0 3191930000000.0 14387500000000.0 64696300000000.0 110905000000000.0 -4.24 [-4.24]
