#depth	Te	cC/dT	dt/dr	d^2T/dr^2
1.46138e+26	7.4593e+02	-3.32e-37	-6.90e-24	2.22e-49
1.48493e+26	7.3082e+02	-3.18e-37	-5.68e-24	4.60e-49
1.51036e+26	7.1816e+02	-3.07e-37	-5.23e-24	1.87e-49
1.53822e+26	7.0501e+02	-2.95e-37	-4.17e-24	3.34e-49
1.57445e+26	6.9146e+02	-2.83e-37	-3.31e-24	2.11e-49
1.62154e+26	6.7790e+02	-2.74e-37	-2.55e-24	1.43e-49
1.67237e+26	6.6933e+02	-2.72e-37	-1.77e-24	1.61e-49
1.72130e+26	6.6495e+02	-2.76e-37	-8.86e-25	1.79e-49
1.76639e+26	6.6467e+02	-2.87e-37	-6.88e-26	2.01e-49
1.80367e+26	6.6667e+02	-2.99e-37	5.92e-25	1.95e-49
1.83479e+26	6.7034e+02	-3.12e-37	1.29e-24	2.47e-49
1.86106e+26	6.7388e+02	-3.24e-37	1.47e-24	7.20e-50
1.88345e+26	6.7696e+02	-3.34e-37	1.49e-24	1.29e-50
1.90265e+26	6.8064e+02	-3.45e-37	2.07e-24	3.24e-49
1.91922e+26	6.8421e+02	-3.54e-37	2.32e-24	1.66e-49
1.93359e+26	6.8725e+02	-3.62e-37	2.27e-24	-3.78e-50
1.94612e+26	6.9047e+02	-3.70e-37	2.76e-24	4.13e-49
1.95708e+26	6.9344e+02	-3.77e-37	2.91e-24	1.46e-49
1.96671e+26	6.9588e+02	-3.82e-37	2.71e-24	-2.15e-49
1.97518e+26	6.9850e+02	-3.88e-37	3.29e-24	7.29e-49
1.98265e+26	7.0055e+02	-3.93e-37	2.94e-24	-5.07e-49
1.98926e+26	7.0280e+02	-3.97e-37	3.62e-24	1.10e-48
1.99532e+26	7.0428e+02	-4.01e-37	2.51e-24	-1.88e-48
2.00119e+26	7.0669e+02	-4.05e-37	4.13e-24	2.78e-48
2.00700e+26	7.0826e+02	-4.09e-37	2.71e-24	-2.46e-48
2.01274e+26	7.1031e+02	-4.13e-37	3.61e-24	1.58e-48
2.01840e+26	7.1206e+02	-4.17e-37	3.10e-24	-8.95e-49
2.02400e+26	7.1411e+02	-4.21e-37	3.68e-24	1.04e-48
2.02954e+26	7.1565e+02	-4.24e-37	2.79e-24	-1.62e-48
2.03501e+26	7.1803e+02	-4.28e-37	4.38e-24	2.91e-48
2.04041e+26	7.1975e+02	-4.32e-37	3.21e-24	-2.17e-48
2.04365e+26	7.2139e+02	-4.35e-37	1.50e-23	1.08e-46
2.04365e+26	7.2139e+02	-4.35e-37	1.50e-23	0.00e+00
2.86462e+22	2.2127e+04	4.39e-37
1.71877e+23	2.1763e+04	4.28e-37	-1.59e-21
4.91961e+23	2.1556e+04	4.24e-37	-5.03e-22	2.64e-45
1.34037e+24	2.1119e+04	4.10e-37	-3.40e-22	1.27e-46
2.81906e+24	2.0882e+04	4.03e-37	-1.42e-22	1.18e-46
4.74136e+24	2.0642e+04	3.95e-37	-1.10e-22	1.45e-47
7.24034e+24	2.0347e+04	3.84e-37	-1.04e-22	2.19e-48
1.04890e+25	1.9901e+04	3.68e-37	-1.22e-22	-4.69e-48
1.41051e+25	1.9513e+04	3.53e-37	-1.09e-22	3.48e-48
1.75652e+25	1.9128e+04	3.37e-37	-1.14e-22	-1.56e-48
2.08401e+25	1.8743e+04	3.22e-37	-1.21e-22	-2.07e-48
2.38748e+25	1.8374e+04	3.07e-37	-1.28e-22	-2.38e-48
2.67036e+25	1.7999e+04	2.92e-37	-1.35e-22	-2.62e-48
2.94640e+25	1.7600e+04	2.76e-37	-1.45e-22	-3.79e-48
3.21524e+25	1.7195e+04	2.59e-37	-1.54e-22	-3.16e-48
3.47364e+25	1.6781e+04	2.42e-37	-1.63e-22	-3.75e-48
3.72439e+25	1.6347e+04	2.24e-37	-1.75e-22	-4.70e-48
3.96968e+25	1.5888e+04	2.04e-37	-1.89e-22	-5.92e-48
4.20868e+25	1.5400e+04	1.84e-37	-2.07e-22	-7.50e-48
4.43799e+25	1.4897e+04	1.62e-37	-2.26e-22	-8.38e-48
4.64859e+25	1.4404e+04	1.41e-37	-2.49e-22	-1.17e-47
4.83439e+25	1.3929e+04	1.21e-37	-2.74e-22	-1.43e-47
4.99750e+25	1.3468e+04	1.01e-37	-3.02e-22	-1.84e-47
5.14077e+25	1.3020e+04	8.19e-38	-3.34e-22	-2.44e-47
5.26612e+25	1.2586e+04	6.30e-38	-3.71e-22	-3.17e-47
5.37535e+25	1.2165e+04	4.45e-38	-4.15e-22	-4.28e-47
5.47015e+25	1.1756e+04	2.65e-38	-4.65e-22	-5.66e-47
5.55207e+25	1.1362e+04	8.83e-39	-5.19e-22	-7.21e-47
5.62284e+25	1.0976e+04	-8.70e-39	-5.88e-22	-1.05e-46
5.68365e+25	1.0616e+04	-2.53e-38	-6.42e-22	-9.61e-47
5.73647e+25	1.0211e+04	-4.44e-38	-8.17e-22	-3.52e-46
5.78004e+25	9.8693e+03	-6.09e-38	-9.11e-22	-2.52e-46
5.81504e+25	9.5282e+03	-7.77e-38	-1.05e-21	-4.26e-46
5.84491e+25	9.1703e+03	-9.58e-38	-1.31e-21	-9.72e-46
5.86899e+25	8.8268e+03	-1.14e-37	-1.64e-21	-1.56e-45
