# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+2 C+3 O+6 Si+2 Si+3 log_nH parameters
1.25892e+16 3.36815e+19 417971000000000.0 235197000000000.0 4702530000000.0 8501660000000.0 8761440000000.0 -3.62 [-3.62]
1.25892e+16 3.1997e+19 410561000000000.0 221959000000000.0 3925170000000.0 8964030000000.0 8960580000000.0 -3.6 [-3.6]
1.25892e+16 3.03977e+19 402744000000000.0 209151000000000.0 3272270000000.0 9426960000000.0 9140580000000.0 -3.58 [-3.58]
1.25892e+16 2.88781e+19 394540000000000.0 196788000000000.0 2724330000000.0 9887010000000.0 9299930000000.0 -3.56 [-3.56]
1.25892e+16 2.74348e+19 385999000000000.0 184885000000000.0 2265150000000.0 10341200000000.0 9436830000000.0 -3.54 [-3.54]
1.25892e+16 2.60637e+19 377161000000000.0 173450000000000.0 1880820000000.0 10786100000000.0 9549780000000.0 -3.52 [-3.52]
1.25892e+16 2.47613e+19 368068000000000.0 162490000000000.0 1559550000000.0 11218500000000.0 9637430000000.0 -3.5 [-3.5]
1.25892e+16 2.3524e+19 358756000000000.0 152008000000000.0 1291340000000.0 11634700000000.0 9698730000000.0 -3.48 [-3.48]
1.25892e+16 2.23484e+19 349262000000000.0 142004000000000.0 1067720000000.0 12031400000000.0 9732810000000.0 -3.46 [-3.46]
1.25892e+16 2.12316e+19 339626000000000.0 132476000000000.0 881539000000.0 12405200000000.0 9739130000000.0 -3.44 [-3.44]
1.25892e+16 2.01706e+19 329886000000000.0 123420000000000.0 726732000000.0 12753000000000.0 9717420000000.0 -3.42 [-3.42]
1.25892e+16 1.91633e+19 320094000000000.0 114832000000000.0 598265000000.0 13072500000000.0 9667410000000.0 -3.4 [-3.4]
1.25892e+16 1.82056e+19 310250000000000.0 106700000000000.0 491691000000.0 13359700000000.0 9590080000000.0 -3.38 [-3.38]
1.25892e+16 1.72956e+19 300403000000000.0 99015600000000.0 403463000000.0 13612900000000.0 9485800000000.0 -3.36 [-3.36]
1.25892e+16 1.6431e+19 290583000000000.0 91768800000000.0 330538000000.0 13830100000000.0 9355630000000.0 -3.34 [-3.34]
1.25892e+16 1.56096e+19 280819000000000.0 84944700000000.0 270348000000.0 14009900000000.0 9200640000000.0 -3.32 [-3.32]
1.25892e+16 1.48293e+19 271136000000000.0 78529400000000.0 220749000000.0 14151600000000.0 9022290000000.0 -3.3 [-3.3]
1.25892e+16 1.4088e+19 261555000000000.0 72510200000000.0 179947000000.0 14254000000000.0 8822570000000.0 -3.28 [-3.28]
1.25892e+16 1.33837e+19 252099000000000.0 66870800000000.0 146435000000.0 14317200000000.0 8603300000000.0 -3.26 [-3.26]
1.25892e+16 1.27146e+19 242784000000000.0 61595400000000.0 118957000000.0 14341500000000.0 8366570000000.0 -3.24 [-3.24]
1.25892e+16 1.2079e+19 233628000000000.0 56668600000000.0 96464100000.0 14327700000000.0 8114570000000.0 -3.22 [-3.22]
1.25892e+16 1.14751e+19 224644000000000.0 52073200000000.0 78084200000.0 14276800000000.0 7849540000000.0 -3.2 [-3.2]
1.25892e+16 1.09014e+19 215846000000000.0 47793600000000.0 63091800000.0 14190300000000.0 7573750000000.0 -3.18 [-3.18]
1.25892e+16 1.03566e+19 207245000000000.0 43814700000000.0 50885900000.0 14070100000000.0 7289560000000.0 -3.16 [-3.16]
1.25892e+16 9.83886e+18 198847000000000.0 40118600000000.0 40964500000.0 13918200000000.0 6998960000000.0 -3.14 [-3.14]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 8.87818e+18 182654000000000.0 33512700000000.0 26383700000.0 13524600000000.0 6407910000000.0 -3.1 [-3.1]
1.25892e+16 8.43518e+18 174923000000000.0 30577700000000.0 21124800000.0 13293500000000.0 6110250000000.0 -3.08 [-3.08]
1.25892e+16 8.01376e+18 167403000000000.0 27865700000000.0 16878500000.0 13039000000000.0 5814280000000.0 -3.06 [-3.06]
1.25892e+16 7.61347e+18 160110000000000.0 25364000000000.0 13459900000.0 12765200000000.0 5521270000000.0 -3.04 [-3.04]
1.25892e+16 7.23378e+18 153055000000000.0 23060900000000.0 10715700000.0 12475700000000.0 5232660000000.0 -3.02 [-3.02]
1.25892e+16 6.87223e+18 146209000000000.0 20939900000000.0 8511240000.0 12169800000000.0 4949790000000.0 -3.0 [-3.0]
1.25892e+16 6.52913e+18 139596000000000.0 18991300000000.0 6748180000.0 11852900000000.0 4673410000000.0 -2.98 [-2.98]
1.25893e+16 6.2032e+18 133209000000000.0 17203100000000.0 5339920000.0 11526300000000.0 4404580000000.0 -2.96 [-2.96]
1.25892e+16 5.89364e+18 127044000000000.0 15564400000000.0 4217480000.0 11192400000000.0 4143990000000.0 -2.94 [-2.94]
1.25892e+16 5.59962e+18 121101000000000.0 14064500000000.0 3324550000.0 10852900000000.0 3892350000000.0 -2.92 [-2.92]
1.25892e+16 5.32038e+18 115375000000000.0 12693600000000.0 2615680000.0 10509900000000.0 3650030000000.0 -2.9 [-2.9]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 4.80295e+18 104553000000000.0 10300700000000.0 1609600000.0 9818700000000.0 3194900000000.0 -2.86 [-2.86]
1.25892e+16 4.56362e+18 99454900000000.0 9261800000000.0 1259110000.0 9474170000000.0 2982290000000.0 -2.84 [-2.84]
1.25892e+16 4.33637e+18 94558600000000.0 8317380000000.0 983131000.0 9132050000000.0 2779750000000.0 -2.82 [-2.82]
1.25892e+16 4.12053e+18 89858100000000.0 7459880000000.0 766204000.0 8793200000000.0 2587270000000.0 -2.8 [-2.8]
1.25892e+16 3.91551e+18 85348500000000.0 6682340000000.0 596026000.0 8458550000000.0 2404760000000.0 -2.78 [-2.78]
1.25892e+16 3.72079e+18 81025300000000.0 5978310000000.0 462795000.0 8128970000000.0 2232050000000.0 -2.76 [-2.76]
1.25892e+16 3.53586e+18 76883500000000.0 5341730000000.0 358696000.0 7805190000000.0 2068950000000.0 -2.74 [-2.74]
1.25892e+16 3.36019e+18 72916800000000.0 4766870000000.0 277504000.0 7487660000000.0 1915200000000.0 -2.72 [-2.72]
1.25892e+16 3.19345e+18 69123600000000.0 4248810000000.0 214331000.0 7177240000000.0 1770620000000.0 -2.7 [-2.7]
1.25892e+16 3.03511e+18 65496400000000.0 3782350000000.0 165253000.0 6874100000000.0 1634820000000.0 -2.68 [-2.68]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 2.7419e+18 58718000000000.0 2986230000000.0 97735200.0 6290800000000.0 1388290000000.0 -2.64 [-2.64]
1.25892e+16 2.60624e+18 55556100000000.0 2648480000000.0 74973800.0 6011020000000.0 1276880000000.0 -2.62 [-2.62]
1.25892e+16 2.47741e+18 52539500000000.0 2346070000000.0 57420700.0 5739410000000.0 1172920000000.0 -2.6 [-2.6]
1.25892e+16 2.35503e+18 49662400000000.0 2075640000000.0 43906500.0 5475960000000.0 1076060000000.0 -2.58 [-2.58]
1.25892e+16 2.23881e+18 46920600000000.0 1834190000000.0 33521400.0 5220800000000.0 985950000000.0 -2.56 [-2.56]
1.25892e+16 2.12836e+18 44307300000000.0 1618820000000.0 25551600.0 4973650000000.0 902244000000.0 -2.54 [-2.54]
1.25892e+16 2.02354e+18 41821100000000.0 1427110000000.0 19450400.0 4735000000000.0 824606000000.0 -2.52 [-2.52]
1.25892e+16 1.92399e+18 39455900000000.0 1256660000000.0 0.0 4504600000000.0 752702000000.0 -2.5 [-2.5]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 1.73956e+18 35066800000000.0 970965000000.0 0.0 4067650000000.0 624796000000.0 -2.46 [-2.46]
1.25892e+16 1.65422e+18 33034900000000.0 852030000000.0 0.0 3861030000000.0 568173000000.0 -2.44 [-2.44]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 1.49614e+18 29274700000000.0 653900000000.0 0.0 3470840000000.0 468105000000.0 -2.4 [-2.4]
1.25892e+16 1.42303e+18 27539100000000.0 571947000000.0 0.0 3287220000000.0 424105000000.0 -2.38 [-2.38]
1.25892e+16 1.3535e+18 25892200000000.0 499688000000.0 0.0 3110570000000.0 383758000000.0 -2.36 [-2.36]
1.25892e+16 1.28747e+18 24332600000000.0 436123000000.0 0.0 2941230000000.0 346831000000.0 -2.34 [-2.34]
1.25892e+16 1.22474e+18 22855700000000.0 380250000000.0 0.0 2778870000000.0 313077000000.0 -2.32 [-2.32]
1.25892e+16 1.16514e+18 21457900000000.0 331203000000.0 0.0 2623340000000.0 282268000000.0 -2.3 [-2.3]
1.25892e+16 1.10854e+18 20136300000000.0 288208000000.0 0.0 2474590000000.0 254194000000.0 -2.28 [-2.28]
1.25892e+16 1.05474e+18 18886600000000.0 250547000000.0 0.0 2332300000000.0 228641000000.0 -2.26 [-2.26]
1.25892e+16 1.00361e+18 17705500000000.0 217595000000.0 0.0 2196280000000.0 205417000000.0 -2.24 [-2.24]
1.25892e+16 9.55027e+17 16590300000000.0 188802000000.0 0.0 2066460000000.0 184341000000.0 -2.22 [-2.22]
1.25892e+16 9.08859e+17 15537800000000.0 163672000000.0 0.0 1942650000000.0 165243000000.0 -2.2 [-2.2]
1.25892e+16 8.64981e+17 14544900000000.0 141760000000.0 0.0 1824660000000.0 147960000000.0 -2.18 [-2.18]
1.25892e+16 8.2328e+17 13608900000000.0 122677000000.0 0.0 1712340000000.0 132342000000.0 -2.16 [-2.16]
1.25892e+16 7.8366e+17 12727300000000.0 106077000000.0 0.0 1605590000000.0 118250000000.0 -2.14 [-2.14]
1.25893e+16 7.45985e+17 11896700000000.0 91645500000.0 0.0 1504090000000.0 105548000000.0 -2.12 [-2.12]
1.25892e+16 7.10171e+17 11115100000000.0 79114500000.0 0.0 1407750000000.0 94115300000.0 -2.1 [-2.1]
1.25892e+16 6.76147e+17 10380200000000.0 68248000000.0 0.0 1316480000000.0 83843000000.0 -2.08 [-2.08]
1.25892e+16 6.43804e+17 9689440000000.0 58831000000.0 0.0 1230040000000.0 74622600000.0 -2.06 [-2.06]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 5.83828e+17 8431130000000.0 43624000000.0 0.0 1070980000000.0 58954700000.0 -2.02 [-2.02]
1.25892e+16 5.56028e+17 7859180000000.0 37526500000.0 0.0 997970000000.0 52334300000.0 -2.0 [-2.0]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 5.04486e+17 6820440000000.0 27719400000.0 0.0 864385000000.0 41147300000.0 -1.96 [-1.96]
1.25892e+16 4.80601e+17 6349730000000.0 23803000000.0 0.0 803437000000.0 36446300000.0 -1.94 [-1.94]
1.25892e+16 4.57887e+17 5909040000000.0 20428900000.0 0.0 746158000000.0 32261100000.0 -1.92 [-1.92]
1.25892e+16 4.36287e+17 5496720000000.0 17524200000.0 0.0 692389000000.0 28538700000.0 -1.9 [-1.9]
1.25892e+16 4.15744e+17 5111150000000.0 15025300000.0 0.0 641970000000.0 25231300000.0 -1.88 [-1.88]
1.25892e+16 3.96203e+17 4750760000000.0 12876800000.0 0.0 594735000000.0 22295100000.0 -1.86 [-1.86]
1.25892e+16 3.77624e+17 4414260000000.0 11031400000.0 0.0 550579000000.0 19691700000.0 -1.84 [-1.84]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 3.43143e+17 3807050000000.0 8087280000.0 0.0 470806000000.0 15342200000.0 -1.8 [-1.8]
1.25892e+16 3.27153e+17 3533780000000.0 6921200000.0 0.0 434898000000.0 13534900000.0 -1.78 [-1.78]
1.25892e+16 3.11947e+17 3279160000000.0 5921830000.0 0.0 401480000000.0 11937500000.0 -1.76 [-1.76]
1.25892e+16 2.97452e+17 3041560000000.0 5064500000.0 0.0 370311000000.0 10524000000.0 -1.74 [-1.74]
1.25892e+16 2.8371e+17 2821110000000.0 4332120000.0 0.0 341463000000.0 9279090000.0 -1.72 [-1.72]
1.25892e+16 2.70613e+17 2615610000000.0 3704340000.0 0.0 314624000000.0 8178860000.0 -1.7 [-1.7]
1.25892e+16 2.58153e+17 2424530000000.0 3167210000.0 0.0 289743000000.0 7208480000.0 -1.68 [-1.68]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 2.35036e+17 2082150000000.0 2315290000.0 0.0 245387000000.0 5599680000.0 -1.64 [-1.64]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 2.14096e+17 1786690000000.0 1692350000.0 0.0 207464000000.0 4350260000.0 -1.6 [-1.6]
1.25892e+16 2.04378e+17 1654700000000.0 1447030000.0 0.0 190648000000.0 3834940000.0 -1.58 [-1.58]
1.25892e+16 1.95128e+17 1532260000000.0 1237410000.0 0.0 175132000000.0 3381170000.0 -1.56 [-1.56]
