#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	grid parameter string
000000093	F	F	                  ok	5	22	-3.140000	-3.140000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000095	F	F	                  ok	3	9	-3.100000	-3.100000
000000096	F	F	                  ok	3	41	-3.080000	-3.080000
000000097	F	F	                  ok	2	21	-3.060000	-3.060000
000000098	F	F	                  ok	2	7	-3.040000	-3.040000
000000099	F	F	                  ok	0	13	-3.020000	-3.020000
000000100	F	F	                  ok	6	7	-3.000000	-3.000000
000000101	F	F	                  ok	4	16	-2.980000	-2.980000
000000102	F	F	                  ok	2	14	-2.960000	-2.960000
000000103	F	F	                  ok	1	22	-2.940000	-2.940000
000000104	F	F	                  ok	3	13	-2.920000	-2.920000
000000105	F	F	                  ok	1	8	-2.900000	-2.900000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000107	F	F	                  ok	1	39	-2.860000	-2.860000
000000108	F	F	                  ok	4	13	-2.840000	-2.840000
000000109	F	F	                  ok	5	43	-2.820000	-2.820000
000000110	F	F	                  ok	5	1	-2.800000	-2.800000
000000111	F	F	                  ok	0	16	-2.780000	-2.780000
000000112	F	F	                  ok	0	12	-2.760000	-2.760000
000000113	F	F	                  ok	0	5	-2.740000	-2.740000
000000114	F	F	                  ok	1	25	-2.720000	-2.720000
000000115	F	F	                  ok	4	21	-2.700000	-2.700000
000000116	F	F	                  ok	2	9	-2.680000	-2.680000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000118	F	F	                  ok	4	37	-2.640000	-2.640000
000000119	F	F	                  ok	0	32	-2.620000	-2.620000
000000120	F	F	                  ok	0	35	-2.600000	-2.600000
000000121	F	F	                  ok	0	41	-2.580000	-2.580000
000000122	F	F	                  ok	6	20	-2.560000	-2.560000
000000123	F	F	                  ok	3	36	-2.540000	-2.540000
000000124	F	F	                  ok	6	2	-2.520000	-2.520000
000000125	F	F	                  ok	0	31	-2.500000	-2.500000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000127	F	F	                  ok	4	36	-2.460000	-2.460000
000000128	F	F	                  ok	0	38	-2.440000	-2.440000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000130	F	F	                  ok	1	16	-2.400000	-2.400000
000000131	F	F	                  ok	4	38	-2.380000	-2.380000
000000132	F	F	                  ok	4	14	-2.360000	-2.360000
000000133	F	F	                  ok	5	18	-2.340000	-2.340000
000000134	F	F	                  ok	6	14	-2.320000	-2.320000
000000135	F	F	                  ok	6	43	-2.300000	-2.300000
000000136	F	F	                  ok	6	1	-2.280000	-2.280000
000000137	F	F	                  ok	4	28	-2.260000	-2.260000
000000138	F	F	                  ok	3	39	-2.240000	-2.240000
000000139	F	F	                  ok	1	40	-2.220000	-2.220000
000000140	F	F	                  ok	5	8	-2.200000	-2.200000
000000141	F	F	                  ok	2	18	-2.180000	-2.180000
000000142	F	F	                  ok	2	24	-2.160000	-2.160000
000000143	F	F	                  ok	3	5	-2.140000	-2.140000
000000144	F	F	                  ok	0	25	-2.120000	-2.120000
000000145	F	F	                  ok	5	35	-2.100000	-2.100000
000000146	F	F	                  ok	2	37	-2.080000	-2.080000
000000147	F	F	                  ok	1	12	-2.060000	-2.060000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000149	F	F	                  ok	4	6	-2.020000	-2.020000
000000150	F	F	                  ok	5	17	-2.000000	-2.000000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000152	F	F	                  ok	3	32	-1.960000	-1.960000
000000153	F	F	                  ok	0	42	-1.940000	-1.940000
000000154	F	F	                  ok	3	30	-1.920000	-1.920000
000000155	F	F	                  ok	6	34	-1.900000	-1.900000
000000156	F	F	                  ok	1	27	-1.880000	-1.880000
000000157	F	F	                  ok	4	7	-1.860000	-1.860000
000000158	F	F	                  ok	0	4	-1.840000	-1.840000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000160	F	F	                  ok	0	22	-1.800000	-1.800000
000000161	F	F	                  ok	4	24	-1.780000	-1.780000
000000162	F	F	                  ok	2	35	-1.760000	-1.760000
000000163	F	F	                  ok	6	31	-1.740000	-1.740000
000000164	F	F	                  ok	2	8	-1.720000	-1.720000
000000165	F	F	                  ok	6	22	-1.700000	-1.700000
000000166	F	F	                  ok	5	4	-1.680000	-1.680000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000168	F	F	                  ok	5	24	-1.640000	-1.640000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000170	F	F	                  ok	3	17	-1.600000	-1.600000
000000171	F	F	                  ok	6	40	-1.580000	-1.580000
000000172	F	F	                  ok	4	22	-1.560000	-1.560000
000000173	F	F	                  ok	0	26	-1.540000	-1.540000
000000174	F	F	                  ok	0	19	-1.520000	-1.520000
000000175	F	F	                  ok	0	40	-1.500000	-1.500000
000000176	F	F	                  ok	6	27	-1.480000	-1.480000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000178	F	F	                  ok	3	1	-1.440000	-1.440000
000000179	F	F	                  ok	6	15	-1.420000	-1.420000
000000180	F	F	                  ok	6	4	-1.400000	-1.400000
000000181	F	F	                  ok	3	20	-1.380000	-1.380000
000000182	F	F	                  ok	5	38	-1.360000	-1.360000
000000183	F	F	                  ok	3	24	-1.340000	-1.340000
000000184	F	F	                  ok	6	30	-1.320000	-1.320000
000000185	F	F	                  ok	3	26	-1.300000	-1.300000
000000186	F	F	                  ok	3	22	-1.280000	-1.280000
000000187	F	F	                  ok	5	12	-1.260000	-1.260000
000000188	F	F	                  ok	2	30	-1.240000	-1.240000
000000189	F	F	                  ok	6	9	-1.220000	-1.220000
000000190	F	F	                  ok	0	17	-1.200000	-1.200000
000000191	F	F	                  ok	2	33	-1.180000	-1.180000
000000192	F	F	                  ok	3	7	-1.160000	-1.160000
000000193	F	F	                  ok	1	10	-1.140000	-1.140000
000000194	F	F	                  ok	1	43	-1.120000	-1.120000
000000195	F	F	                  ok	1	15	-1.100000	-1.100000
000000196	F	F	                  ok	4	30	-1.080000	-1.080000
000000197	F	F	                  ok	1	34	-1.060000	-1.060000
000000198	F	F	                  ok	5	21	-1.040000	-1.040000
000000199	F	F	                  ok	5	0	-1.020000	-1.020000
000000200	F	F	                  ok	1	9	-1.000000	-1.000000
000000201	F	F	                  ok	5	34	-0.980000	-0.980000
000000202	F	F	                  ok	1	32	-0.960000	-0.960000
000000203	F	F	                  ok	4	34	-0.940000	-0.940000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000205	F	F	                  ok	4	18	-0.900000	-0.900000
000000206	F	F	                  ok	4	32	-0.880000	-0.880000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000209	F	F	                  ok	1	13	-0.820000	-0.820000
000000210	F	F	                  ok	2	23	-0.800000	-0.800000
000000211	F	F	                  ok	1	6	-0.780000	-0.780000
000000212	F	F	                  ok	0	36	-0.760000	-0.760000
000000213	F	F	                  ok	3	19	-0.740000	-0.740000
000000214	F	F	                  ok	6	17	-0.720000	-0.720000
000000215	F	F	                  ok	5	32	-0.700000	-0.700000
000000216	F	F	                  ok	5	27	-0.680000	-0.680000
000000217	F	F	                  ok	1	4	-0.660000	-0.660000
000000218	F	F	                  ok	5	13	-0.640000	-0.640000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000220	F	F	                  ok	0	23	-0.600000	-0.600000
000000221	F	F	                  ok	2	22	-0.580000	-0.580000
000000222	F	F	                  ok	1	31	-0.560000	-0.560000
000000223	F	F	                  ok	5	42	-0.540000	-0.540000
000000224	F	F	                  ok	4	17	-0.520000	-0.520000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000227	F	F	                  ok	2	15	-0.460000	-0.460000
000000228	F	F	                  ok	4	42	-0.440000	-0.440000
000000229	F	F	                  ok	0	20	-0.420000	-0.420000
000000230	F	F	                  ok	1	19	-0.400000	-0.400000
000000231	F	F	                  ok	5	10	-0.380000	-0.380000
000000232	F	F	                  ok	1	28	-0.360000	-0.360000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000234	F	F	                  ok	3	42	-0.320000	-0.320000
000000235	F	F	                  ok	3	35	-0.300000	-0.300000
000000236	F	F	                  ok	6	32	-0.280000	-0.280000
000000237	F	F	                  ok	5	31	-0.260000	-0.260000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000239	F	F	                  ok	4	2	-0.220000	-0.220000
000000240	F	F	                  ok	6	42	-0.200000	-0.200000
000000241	F	F	                  ok	3	31	-0.180000	-0.180000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000243	F	F	                  ok	1	14	-0.140000	-0.140000
000000244	F	F	                  ok	2	40	-0.120000	-0.120000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000246	F	F	                  ok	4	1	-0.080000	-0.080000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000248	F	F	                  ok	0	37	-0.040000	-0.040000
000000249	F	F	                  ok	6	33	-0.020000	-0.020000
000000250	F	F	                  ok	6	13	-0.000000	-0.000000
000000251	F	F	                  ok	3	8	0.020000	0.020000
000000252	F	F	                  ok	2	11	0.040000	0.040000
000000253	F	F	                  ok	2	13	0.060000	0.060000
000000254	F	F	                  ok	0	8	0.080000	0.080000
000000255	F	F	                  ok	2	28	0.100000	0.100000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000257	F	F	                  ok	6	23	0.140000	0.140000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000259	F	F	                  ok	5	5	0.180000	0.180000
000000260	F	F	                  ok	2	31	0.200000	0.200000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000262	F	F	                  ok	6	19	0.240000	0.240000
000000263	F	F	                  ok	5	37	0.260000	0.260000
000000264	F	F	                  ok	4	0	0.280000	0.280000
000000265	F	F	                  ok	6	35	0.300000	0.300000
000000266	F	F	                  ok	5	14	0.320000	0.320000
000000267	F	F	                  ok	3	18	0.340000	0.340000
000000268	F	F	                  ok	0	34	0.360000	0.360000
000000269	F	F	                  ok	5	25	0.380000	0.380000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000272	F	F	                  ok	5	30	0.440000	0.440000
000000273	F	F	                  ok	0	15	0.460000	0.460000
000000274	F	F	                  ok	5	33	0.480000	0.480000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000276	F	F	                  ok	2	25	0.520000	0.520000
000000277	F	F	                  ok	3	0	0.540000	0.540000
000000278	F	F	                  ok	3	34	0.560000	0.560000
000000279	F	F	                  ok	6	37	0.580000	0.580000
000000280	F	F	                  ok	0	18	0.600000	0.600000
000000281	F	F	                  ok	4	5	0.620000	0.620000
000000282	F	F	                  ok	5	26	0.640000	0.640000
000000283	F	F	                  ok	5	28	0.660000	0.660000
000000284	F	F	                  ok	3	4	0.680000	0.680000
000000285	F	F	                  ok	1	11	0.700000	0.700000
