H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.58489e+14	1.00257e+20	6.18986e+07	2.94994e+10	9.74785e+11	9.65684e+13	1.04552e+15	1.05191e+04	7.56312e+06	2.92182e+08
1.58489e+14	1.00264e+20	6.78558e+07	3.23449e+10	1.06884e+12	1.05897e+14	1.14647e+15	1.15346e+04	8.29337e+06	3.20403e+08
1.58489e+14	1.00272e+20	7.43848e+07	3.54649e+10	1.17197e+12	1.16131e+14	1.25717e+15	1.26482e+04	9.09420e+06	3.51354e+08
1.58489e+14	1.00280e+20	8.15405e+07	3.88858e+10	1.28506e+12	1.27360e+14	1.37857e+15	1.38694e+04	9.97250e+06	3.85299e+08
1.58489e+14	1.00290e+20	8.93824e+07	4.26368e+10	1.40907e+12	1.39681e+14	1.51170e+15	1.52088e+04	1.09358e+07	4.22532e+08
1.58489e+14	1.00301e+20	9.79764e+07	4.67495e+10	1.54506e+12	1.53201e+14	1.65770e+15	1.66777e+04	1.19923e+07	4.63370e+08
1.58489e+14	1.00313e+20	1.07393e+08	5.12589e+10	1.69417e+12	1.68039e+14	1.81781e+15	1.82889e+04	1.31511e+07	5.08168e+08
1.58489e+14	1.00326e+20	1.17712e+08	5.62033e+10	1.85769e+12	1.84326e+14	1.99342e+15	2.00561e+04	1.44223e+07	5.57310e+08
1.58489e+14	1.00342e+20	1.29016e+08	6.16245e+10	2.03701e+12	2.02208e+14	2.18601e+15	2.19945e+04	1.58167e+07	6.11224e+08
1.58489e+14	1.00359e+20	1.41402e+08	6.75684e+10	2.23364e+12	2.21842e+14	2.39724e+15	2.41207e+04	1.73463e+07	6.70372e+08
1.58489e+14	1.00377e+20	1.54967e+08	7.40843e+10	2.44923e+12	2.43399e+14	2.62889e+15	2.64527e+04	1.90241e+07	7.35258e+08
1.58489e+14	1.00396e+20	1.69824e+08	8.12276e+10	2.68563e+12	2.67075e+14	2.88296e+15	2.90107e+04	2.08646e+07	8.06449e+08
1.58489e+14	1.00418e+20	1.86095e+08	8.90586e+10	2.94486e+12	2.93080e+14	3.16164e+15	3.18171e+04	2.28840e+07	8.84567e+08
1.58489e+14	1.00443e+20	2.03911e+08	9.76427e+10	3.22909e+12	3.21650e+14	3.46732e+15	3.48962e+04	2.50998e+07	9.70291e+08
1.58489e+14	1.00470e+20	2.23420e+08	1.07052e+11	3.54075e+12	3.53040e+14	3.80265e+15	3.82748e+04	2.75313e+07	1.06437e+09
1.58489e+14	1.00501e+20	2.44782e+08	1.17364e+11	3.88245e+12	3.87540e+14	4.17051e+15	4.19821e+04	3.01998e+07	1.16763e+09
1.58489e+14	1.00535e+20	2.68160e+08	1.28666e+11	4.25708e+12	4.25467e+14	4.57409e+15	4.60507e+04	3.31285e+07	1.28099e+09
1.58489e+14	1.00574e+20	2.93742e+08	1.41050e+11	4.66779e+12	4.67163e+14	5.01692e+15	5.05160e+04	3.63433e+07	1.40544e+09
1.58489e+14	1.00618e+20	3.21733e+08	1.54619e+11	5.11803e+12	5.13018e+14	5.50284e+15	5.54175e+04	3.98725e+07	1.54209e+09
1.58489e+14	1.00668e+20	3.52343e+08	1.69484e+11	5.61156e+12	5.63473e+14	6.03613e+15	6.07983e+04	4.37476e+07	1.69217e+09
1.58489e+14	1.00724e+20	3.85806e+08	1.85765e+11	6.15248e+12	6.18997e+14	6.62147e+15	6.67064e+04	4.80031e+07	1.85703e+09
1.58489e+14	1.00787e+20	4.22367e+08	2.03591e+11	6.74523e+12	6.80117e+14	7.26401e+15	7.31941e+04	5.26771e+07	2.03816e+09
1.58489e+14	1.00859e+20	4.62292e+08	2.23103e+11	7.39469e+12	7.47419e+14	7.96951e+15	8.03200e+04	5.78118e+07	2.23721e+09
1.58489e+14	1.00940e+20	5.05863e+08	2.44452e+11	8.10609e+12	8.21558e+14	8.74431e+15	8.81484e+04	6.34542e+07	2.45602e+09
1.58489e+14	1.01034e+20	5.53609e+08	2.67910e+11	8.88798e+12	9.03272e+14	9.59546e+15	9.67544e+04	6.96587e+07	2.69668e+09
1.58489e+14	1.01140e+20	6.05892e+08	2.93672e+11	9.74708e+12	9.93384e+14	1.05307e+16	1.06218e+05	7.64834e+07	2.96151e+09
1.58489e+14	1.01247e+20	6.62971e+08	3.21885e+11	1.06886e+13	1.09266e+15	1.15571e+16	1.16612e+05	8.39809e+07	3.25253e+09
1.58489e+14	1.01360e+20	7.25258e+08	3.52785e+11	1.17209e+13	1.20210e+15	1.26840e+16	1.28032e+05	9.22223e+07	3.57259e+09
1.58489e+14	1.01487e+20	7.93326e+08	3.86687e+11	1.28544e+13	1.32287e+15	1.39226e+16	1.40595e+05	1.01292e+08	3.92494e+09
1.58489e+14	1.01630e+20	8.67625e+08	4.23859e+11	1.40985e+13	1.45621e+15	1.52844e+16	1.54419e+05	1.11276e+08	4.31303e+09
1.58489e+14	1.01790e+20	9.48677e+08	4.64610e+11	1.54643e+13	1.60351e+15	1.67823e+16	1.69635e+05	1.22271e+08	4.74072e+09
1.58489e+14	1.01973e+20	1.03705e+09	5.09289e+11	1.69638e+13	1.76635e+15	1.84306e+16	1.86394e+05	1.34388e+08	5.21233e+09
1.58488e+14	1.02179e+20	1.13338e+09	5.58290e+11	1.86109e+13	1.94648e+15	2.02454e+16	2.04862e+05	1.47750e+08	5.73280e+09
1.58488e+14	1.02412e+20	1.23836e+09	6.12049e+11	2.04209e+13	2.14582e+15	2.22445e+16	2.25227e+05	1.62495e+08	6.30754e+09
1.58488e+14	1.02654e+20	1.35275e+09	6.71044e+11	2.24097e+13	2.36603e+15	2.44433e+16	2.47657e+05	1.78746e+08	6.94151e+09
1.58488e+14	1.02926e+20	1.47746e+09	7.35893e+11	2.45992e+13	2.60980e+15	2.68668e+16	2.72406e+05	1.96696e+08	7.64232e+09
1.58488e+14	1.03227e+20	1.61368e+09	8.07330e+11	2.70138e+13	2.87973e+15	2.95392e+16	2.99739e+05	2.16538e+08	8.41770e+09
1.58489e+14	1.03565e+20	1.76219e+09	8.85996e+11	2.96770e+13	3.17889e+15	3.24889e+16	3.29948e+05	2.38493e+08	9.27652e+09
1.58489e+14	1.03941e+20	1.92374e+09	9.72486e+11	3.26114e+13	3.51050e+15	3.57464e+16	3.63351e+05	2.62799e+08	1.02285e+10
1.58489e+14	1.04354e+20	2.09948e+09	1.06763e+12	3.58466e+13	3.87814e+15	3.93446e+16	4.00304e+05	2.89725e+08	1.12844e+10
1.58489e+14	1.04813e+20	2.29046e+09	1.17237e+12	3.94172e+13	4.28611e+15	4.33242e+16	4.41233e+05	3.19594e+08	1.24573e+10
1.58489e+14	1.05326e+20	2.49796e+09	1.28780e+12	4.33627e+13	4.73924e+15	4.77310e+16	4.86623e+05	3.52778e+08	1.37624e+10
1.58489e+14	1.05906e+20	2.72316e+09	1.41509e+12	4.77279e+13	5.24332e+15	5.26191e+16	5.37033e+05	3.89707e+08	1.52175e+10
1.58489e+14	1.06558e+20	2.96695e+09	1.55531e+12	5.25551e+13	5.80467e+15	5.80467e+16	5.93082e+05	4.30861e+08	1.68423e+10
1.58489e+14	1.07294e+20	3.23182e+09	1.71053e+12	5.79170e+13	6.43102e+15	6.40835e+16	6.55512e+05	4.76820e+08	1.86608e+10
1.58489e+14	1.08124e+20	3.51813e+09	1.88186e+12	6.38636e+13	7.13103e+15	7.08101e+16	7.25250e+05	5.28307e+08	2.07028e+10
1.58489e+14	1.09066e+20	3.82739e+09	2.07126e+12	7.04724e+13	7.91478e+15	7.83209e+16	8.03086e+05	5.85972e+08	2.29969e+10
1.58489e+14	1.10133e+20	4.16289e+09	2.28177e+12	7.78532e+13	8.79430e+15	8.67239e+16	8.90252e+05	6.50795e+08	2.55839e+10
1.58489e+14	1.11345e+20	4.52337e+09	2.51444e+12	8.60710e+13	9.78356e+15	9.61500e+16	9.88031e+05	7.23832e+08	2.85098e+10
1.58488e+14	1.12725e+20	4.91174e+09	2.77282e+12	9.52647e+13	1.09004e+16	1.06753e+17	1.09801e+06	8.06400e+08	3.18316e+10
1.58488e+14	1.14294e+20	5.32953e+09	3.06010e+12	1.05574e+14	1.21641e+16	1.18712e+17	1.22197e+06	9.00004e+08	3.56156e+10
1.58489e+14	1.16083e+20	5.77871e+09	3.38024e+12	1.17173e+14	1.35997e+16	1.32246e+17	1.36208e+06	1.00652e+09	3.99454e+10
1.58489e+14	1.18132e+20	6.26086e+09	3.73752e+12	1.30260e+14	1.52366e+16	1.47626e+17	1.52098e+06	1.12826e+09	4.49256e+10
1.58489e+14	1.20488e+20	6.77879e+09	4.13732e+12	1.45091e+14	1.71147e+16	1.65183e+17	1.70232e+06	1.26840e+09	5.06990e+10
1.58489e+14	1.23214e+20	7.33044e+09	4.58404e+12	1.61923e+14	1.92785e+16	1.85332e+17	1.90901e+06	1.42986e+09	5.74102e+10
1.58489e+14	1.26377e+20	7.90886e+09	5.07912e+12	1.80974e+14	2.17878e+16	2.08583e+17	2.14581e+06	1.61714e+09	6.52754e+10
1.58489e+14	1.30075e+20	8.50705e+09	5.62491e+12	2.02545e+14	2.47200e+16	2.35609e+17	2.41820e+06	1.83574e+09	7.45703e+10
1.58489e+14	1.34371e+20	9.05702e+09	6.16224e+12	2.25142e+14	2.81638e+16	2.67152e+17	2.72985e+06	2.09013e+09	8.55682e+10
1.58489e+14	1.39528e+20	9.62179e+09	6.71961e+12	2.49732e+14	3.22738e+16	3.04553e+17	3.08894e+06	2.38946e+09	9.87709e+10
1.58488e+14	1.45608e+20	1.03162e+10	7.45704e+12	2.81769e+14	3.71992e+16	3.49008e+17	3.51361e+06	2.75166e+09	1.14992e+11
1.58489e+14	1.52819e+20	1.10481e+10	8.28352e+12	3.19050e+14	4.31659e+16	4.02345e+17	4.01217e+06	3.18870e+09	1.34991e+11
1.58489e+14	1.60943e+20	1.18058e+10	9.18965e+12	3.61726e+14	5.03241e+16	4.65592e+17	4.59311e+06	3.71086e+09	1.59489e+11
1.58489e+14	9.77205e+19	1.89652e+07	8.82343e+09	2.85364e+11	2.73265e+13	2.83589e+14	3.39854e+03	2.43246e+06	9.24174e+07
1.58489e+14	9.77222e+19	2.07936e+07	9.67458e+09	3.12894e+11	2.99637e+13	3.10954e+14	3.72649e+03	2.66720e+06	1.01336e+08
