H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.17489e+16	4.87022e+16	8.14695e+10	8.28317e+09	7.10762e+05	0	0	1.04122e+10	8.23516e+08	4.87453e+06
1.17489e+16	4.86964e+16	8.93210e+10	9.08084e+09	7.79185e+05	0	0	1.14163e+10	9.02209e+08	5.34392e+06
1.17490e+16	4.86880e+16	9.79253e+10	9.95449e+09	8.54105e+05	0	0	1.25169e+10	9.88214e+08	5.85803e+06
1.17489e+16	4.86760e+16	1.07352e+11	1.09109e+10	9.36085e+05	0	0	1.37230e+10	1.08212e+09	6.42083e+06
1.17489e+16	4.86680e+16	1.17694e+11	1.19608e+10	1.02612e+06	0	0	1.50462e+10	1.18519e+09	7.03866e+06
1.17489e+16	4.86537e+16	1.29020e+11	1.31092e+10	1.12453e+06	0	0	1.64957e+10	1.29746e+09	7.71439e+06
1.17489e+16	4.86437e+16	1.41445e+11	1.43698e+10	1.23260e+06	0	0	1.80858e+10	1.42068e+09	8.45617e+06
1.17490e+16	4.86299e+16	1.55057e+11	1.57498e+10	1.35086e+06	0	0	1.98285e+10	1.55508e+09	9.26817e+06
1.17490e+16	4.86178e+16	1.69984e+11	1.72635e+10	1.48059e+06	0	0	2.17397e+10	1.70220e+09	1.01588e+07
1.17490e+16	4.86008e+16	1.86334e+11	1.89197e+10	1.62245e+06	0	0	2.38338e+10	1.86257e+09	1.11332e+07
1.17490e+16	4.85825e+16	2.04252e+11	2.07338e+10	1.77782e+06	0	0	2.61293e+10	2.03763e+09	1.22006e+07
1.17489e+16	4.85622e+16	2.23887e+11	2.27207e+10	1.94794e+06	0	0	2.86454e+10	2.22864e+09	1.33696e+07
1.17489e+16	4.85400e+16	2.45401e+11	2.48966e+10	2.13419e+06	0	0	3.14033e+10	2.43695e+09	1.46497e+07
1.17490e+16	4.85155e+16	2.68973e+11	2.72790e+10	2.33806e+06	0	0	3.44260e+10	2.66400e+09	1.60513e+07
1.17489e+16	4.84886e+16	2.94798e+11	2.98873e+10	2.56118e+06	0	0	3.77389e+10	2.91127e+09	1.75858e+07
1.17490e+16	4.84590e+16	3.23089e+11	3.27423e+10	2.80533e+06	0	0	4.13697e+10	3.18045e+09	1.92653e+07
1.17489e+16	4.84265e+16	3.54079e+11	3.58670e+10	3.07243e+06	0	0	4.53487e+10	3.47317e+09	2.11035e+07
1.17490e+16	4.83907e+16	3.88022e+11	3.92860e+10	3.36456e+06	0	0	4.97090e+10	3.79130e+09	2.31148e+07
1.17490e+16	4.83512e+16	4.25193e+11	4.30263e+10	3.68398e+06	0	0	5.44867e+10	4.13662e+09	2.53150e+07
1.17490e+16	4.83077e+16	4.65895e+11	4.71170e+10	4.03314e+06	0	0	5.97216e+10	4.51104e+09	2.77212e+07
1.17489e+16	4.82596e+16	5.10457e+11	5.15896e+10	4.41466e+06	0	0	6.54567e+10	4.91653e+09	3.03521e+07
1.17490e+16	4.82057e+16	5.59230e+11	5.64767e+10	4.83122e+06	0	0	7.17386e+10	5.35484e+09	3.32269e+07
1.17490e+16	4.81474e+16	6.12619e+11	6.18189e+10	5.28631e+06	0	0	7.86207e+10	5.82831e+09	3.63693e+07
1.17489e+16	4.80821e+16	6.71031e+11	6.76523e+10	5.78279e+06	0	0	8.61576e+10	6.33785e+09	3.98006e+07
1.17490e+16	4.80107e+16	7.34941e+11	7.40222e+10	6.32448e+06	0	0	9.44118e+10	6.88635e+09	4.35478e+07
1.17489e+16	4.79308e+16	8.04828e+11	8.09711e+10	6.91474e+06	0	0	1.03448e+11	7.47427e+09	4.76357e+07
1.17490e+16	4.78439e+16	8.81261e+11	8.85534e+10	7.55818e+06	0	0	1.13343e+11	8.10407e+09	5.20966e+07
1.17489e+16	4.77474e+16	9.64806e+11	9.68179e+10	8.25864e+06	0	0	1.24173e+11	8.77562e+09	5.69594e+07
1.17489e+16	4.76426e+16	1.05613e+12	1.05827e+11	9.02129e+06	0	0	1.36027e+11	9.49068e+09	6.22608e+07
1.17489e+16	4.75234e+16	1.15582e+12	1.15622e+11	9.84904e+06	0	0	1.48992e+11	1.02450e+10	6.80266e+07
1.17489e+16	4.73910e+16	1.26466e+12	1.26272e+11	1.07474e+07	0	0	1.63171e+11	1.10385e+10	7.42972e+07
1.17490e+16	4.72433e+16	1.38340e+12	1.37838e+11	1.17211e+07	0	0	1.78671e+11	1.18677e+10	8.11097e+07
1.17489e+16	4.70787e+16	1.51287e+12	1.50382e+11	1.27748e+07	0	0	1.95610e+11	1.27277e+10	8.85023e+07
1.17489e+16	4.68945e+16	1.65393e+12	1.63966e+11	1.39130e+07	0	0	2.14112e+11	1.36107e+10	9.65134e+07
1.17490e+16	4.66883e+16	1.80747e+12	1.78652e+11	1.51398e+07	0	0	2.34307e+11	1.45067e+10	1.05181e+08
1.17489e+16	4.64569e+16	1.97444e+12	1.94494e+11	1.64588e+07	0	0	2.56335e+11	1.54016e+10	1.14542e+08
1.17490e+16	4.61934e+16	2.15568e+12	2.11512e+11	1.78695e+07	0	0	2.80324e+11	1.62785e+10	1.24615e+08
1.17490e+16	4.59005e+16	2.35237e+12	2.29803e+11	1.93798e+07	0	0	3.06459e+11	1.71131e+10	1.35459e+08
1.17490e+16	4.55720e+16	2.56546e+12	2.49383e+11	2.09888e+07	0	0	3.34890e+11	1.78747e+10	1.47095e+08
1.17490e+16	4.52020e+16	2.79583e+12	2.70244e+11	2.26928e+07	0	0	3.65756e+11	1.85408e+10	1.59531e+08
1.17489e+16	4.47743e+16	3.04386e+12	2.92257e+11	2.44764e+07	0	0	3.99151e+11	1.90522e+10	1.72714e+08
