#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string
000000103	F	F	                  ok	5	1923	-4.980000	-2.900000	-4.980000, -2.900000
000000104	F	F	                  ok	5	651	-4.980000	-2.850000	-4.980000, -2.850000
000000105	F	F	                  ok	5	110	-4.980000	-2.800000	-4.980000, -2.800000
000000106	F	F	                  ok	7	107	-4.980000	-2.750000	-4.980000, -2.750000
000000107	F	F	                  ok	8	1981	-4.980000	-2.700000	-4.980000, -2.700000
000000108	F	F	                  ok	8	96	-4.980000	-2.650000	-4.980000, -2.650000
000000109	F	F	                  ok	3	1076	-4.980000	-2.600000	-4.980000, -2.600000
000000110	F	F	                  ok	3	75	-4.980000	-2.550000	-4.980000, -2.550000
000000111	F	F	                  ok	10	926	-4.980000	-2.500000	-4.980000, -2.500000
000000112	F	F	                  ok	8	117	-4.980000	-2.450000	-4.980000, -2.450000
000000113	F	F	                  ok	0	1562	-4.980000	-2.400000	-4.980000, -2.400000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000115	F	F	                  ok	2	1232	-4.980000	-2.300000	-4.980000, -2.300000
000000116	F	F	                  ok	11	1915	-4.980000	-2.250000	-4.980000, -2.250000
000000117	F	F	                  ok	0	1342	-4.980000	-2.200000	-4.980000, -2.200000
000000118	F	F	                  ok	1	1898	-4.980000	-2.150000	-4.980000, -2.150000
000000119	F	F	                  ok	0	2039	-4.980000	-2.100000	-4.980000, -2.100000
000000120	F	F	                  ok	2	47	-4.980000	-2.050000	-4.980000, -2.050000
000000121	F	F	                  ok	6	441	-4.980000	-2.000000	-4.980000, -2.000000
000000122	F	F	                  ok	8	233	-4.980000	-1.950000	-4.980000, -1.950000
000000123	F	F	                  ok	5	1573	-4.980000	-1.900000	-4.980000, -1.900000
000000124	F	F	                  ok	11	1435	-4.980000	-1.850000	-4.980000, -1.850000
000000125	F	F	                  ok	7	148	-4.980000	-1.800000	-4.980000, -1.800000
000000126	F	F	                  ok	2	26	-4.980000	-1.750000	-4.980000, -1.750000
000000127	F	F	                  ok	2	302	-4.980000	-1.700000	-4.980000, -1.700000
000000128	F	F	                  ok	6	335	-4.980000	-1.650000	-4.980000, -1.650000
000000129	F	F	                  ok	0	736	-4.980000	-1.600000	-4.980000, -1.600000
000000130	F	F	                  ok	7	843	-4.980000	-1.550000	-4.980000, -1.550000
000000131	F	F	                  ok	2	1579	-4.980000	-1.500000	-4.980000, -1.500000
000000132	F	F	                  ok	3	1867	-4.980000	-1.450000	-4.980000, -1.450000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000136	F	F	                  ok	11	1330	-4.980000	-1.250000	-4.980000, -1.250000
000000137	F	F	                  ok	4	830	-4.980000	-1.200000	-4.980000, -1.200000
000000138	F	F	                  ok	1	1754	-4.980000	-1.150000	-4.980000, -1.150000
000000139	F	F	                  ok	5	271	-4.980000	-1.100000	-4.980000, -1.100000
000000140	F	F	                  ok	5	1154	-4.980000	-1.050000	-4.980000, -1.050000
000000141	F	F	                  ok	2	539	-4.980000	-1.000000	-4.980000, -1.000000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000143	F	F	                  ok	1	1676	-4.980000	-0.900000	-4.980000, -0.900000
000000144	F	F	                  ok	8	1327	-4.980000	-0.850000	-4.980000, -0.850000
000000145	F	F	                  ok	1	1207	-4.980000	-0.800000	-4.980000, -0.800000
000000146	F	F	                  ok	5	1150	-4.980000	-0.750000	-4.980000, -0.750000
000000147	F	F	                  ok	8	1407	-4.980000	-0.700000	-4.980000, -0.700000
000000148	F	F	                  ok	3	1325	-4.980000	-0.650000	-4.980000, -0.650000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000150	F	F	                  ok	0	877	-4.980000	-0.550000	-4.980000, -0.550000
000000151	F	F	                  ok	10	1783	-4.980000	-0.500000	-4.980000, -0.500000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000153	F	F	                  ok	1	330	-4.980000	-0.400000	-4.980000, -0.400000
000000154	F	F	                  ok	6	426	-4.980000	-0.350000	-4.980000, -0.350000
000000155	F	F	                  ok	11	851	-4.980000	-0.300000	-4.980000, -0.300000
000000156	F	F	                  ok	5	1619	-4.980000	-0.250000	-4.980000, -0.250000
000000157	F	F	                  ok	7	571	-4.980000	-0.200000	-4.980000, -0.200000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000160	F	F	                  ok	10	892	-4.980000	-0.050000	-4.980000, -0.050000
000000161	F	F	                  ok	4	499	-4.980000	0.000000	-4.980000, 0.000000
000000162	F	F	                  ok	10	645	-4.980000	0.050000	-4.980000, 0.050000
000000163	F	F	                  ok	1	1158	-4.980000	0.100000	-4.980000, 0.100000
000000164	F	F	                  ok	11	962	-4.980000	0.150000	-4.980000, 0.150000
000000165	F	F	                  ok	1	1825	-4.980000	0.200000	-4.980000, 0.200000
000000166	F	F	                  ok	5	1803	-4.980000	0.250000	-4.980000, 0.250000
000000167	F	F	                  ok	8	1936	-4.980000	0.300000	-4.980000, 0.300000
000000168	F	F	                  ok	8	1239	-4.980000	0.350000	-4.980000, 0.350000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000170	F	F	                  ok	0	70	-4.980000	0.450000	-4.980000, 0.450000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000172	F	F	                  ok	11	1104	-4.980000	0.550000	-4.980000, 0.550000
000000173	F	F	                  ok	2	911	-4.980000	0.600000	-4.980000, 0.600000
000000174	F	F	                  ok	9	227	-4.980000	0.650000	-4.980000, 0.650000
000000175	F	F	                  ok	5	1601	-4.980000	0.700000	-4.980000, 0.700000
000000176	F	F	                  ok	5	738	-4.980000	0.750000	-4.980000, 0.750000
000000177	F	F	                  ok	5	1170	-4.980000	0.800000	-4.980000, 0.800000
000000178	F	F	                  ok	5	1080	-4.980000	0.850000	-4.980000, 0.850000
000000179	F	F	                  ok	10	1532	-4.980000	0.900000	-4.980000, 0.900000
000000180	F	F	                  ok	5	1802	-4.980000	0.950000	-4.980000, 0.950000
000000181	F	F	                  ok	11	1498	-4.980000	1.000000	-4.980000, 1.000000
000000182	F	F	                  ok	8	2082	-4.980000	1.050000	-4.980000, 1.050000
000000183	F	F	                  ok	0	1188	-4.980000	1.100000	-4.980000, 1.100000
000000184	F	F	                  ok	11	193	-4.980000	1.150000	-4.980000, 1.150000
000000185	F	F	                  ok	5	1225	-4.980000	1.200000	-4.980000, 1.200000
000000186	F	F	                  ok	11	1116	-4.980000	1.250000	-4.980000, 1.250000
000000187	F	F	                  ok	0	1949	-4.980000	1.300000	-4.980000, 1.300000
000000188	F	F	                  ok	8	786	-4.980000	1.350000	-4.980000, 1.350000
000000189	F	F	                  ok	11	1257	-4.980000	1.400000	-4.980000, 1.400000
000000190	F	F	                  ok	10	560	-4.980000	1.450000	-4.980000, 1.450000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000193	F	F	                  ok	9	929	-4.980000	1.600000	-4.980000, 1.600000
000000194	F	F	                  ok	11	1920	-4.980000	1.650000	-4.980000, 1.650000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000196	F	F	                  ok	4	857	-4.980000	1.750000	-4.980000, 1.750000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000198	F	F	                  ok	11	1362	-4.980000	1.850000	-4.980000, 1.850000
