# CeSAM : ASTROPHYSIC DATA CENTER IN MARSEILLE
# Head : C. Surace, Scientific head : V. Le Brun, Information system head : C. Moreau
# VVDS project 
# It these data have been of any use for your research, please include the following acknowledgment :
# This research uses data from the VIMOS VLT Deep Survey, obtained from the VVDS database operated by Cesam, Laboratoire d'Astrophysique de Marseille, France.
# and refer to the paper: 
# Le Fèvre et al., 2013, arXiv:1307.0545
# Search in F10_WIDE field AND MagI between -100 and 100 AND Spectroscopic Redshift > 0
# NUM 	ID-IAU 	ALPHA 	DELTA 	Z 	ZFLAGS 	MAGI 	MAG_U_CFH12K 	MAGERR_AUTO_U 	MAG_B_CFH12K 	MAGERR_AUTO_B 	MAG_V_CFH12K 	MAGERR_AUTO_V 	MAG_R_CFH12K 	MAGERR_AUTO_R 	MAG_I_CFH12K 	MAGERR_AUTO_I 	 
100019341	VVDS-J100648.44+010149.6	151.701862	1.0304701	4.0300	14	22.3783	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.3783	0.0413
100019345	VVDS-J100304.31+010150.1	150.767971	1.0306066	0.1482	1	22.4347	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.4347	0.0498
100019352	VVDS-J100433.10+010151.5	151.137944	1.0309969	0.3931	1	22.397	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.397	0.0456
100019380	VVDS-J100358.49+010151.0	150.993722	1.0308427	9.9999	0	21.8046	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.8046	0.0252
100019385	VVDS-J100752.28+010140.1	151.967875	1.0278096	0.4975	2	17.5275	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	17.5275	0.0023
100019553	VVDS-J100545.30+010132.7	151.438757	1.0257746	9.9999	0	22.3433	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	22.3433	0.0572
100019580	VVDS-J100731.86+010151.7	151.88279	1.0310462	0.6851	2	22.0749	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.0749	0.0338
100019584	VVDS-J100545.85+010150.1	151.441081	1.0305843	0.4927	2	21.5936	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.5936	0.0155
100019601	VVDS-J100715.01+010151.7	151.812566	1.0310511	0.6171	3	22.2845	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.2845	0.0365
100019661	VVDS-J100501.72+010148.2	151.257178	1.0300568	0.7938	1	21.5832	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.5832	0.0271
