Z_SYS,DELTAV_SYS,WAVELENGTH,LINE_ID,z_ABS,SIGLEVEL,S/N,EQW,EQW_ERR,BVALUE,BVALUE_ERR,LOGN_lower_limit,LOGN,LOGN_ERR,FLAG_FIT,LCOD,NUM_SYS_LINES,NUM_METAL_LINES
0.365706,44,1328.15,Lyc 972,0.365645,8.5,20,62,15,41.4,6.3,0,14.46,0.08,0,0,5,2
0.365706,44,1409.35,OVI 1032,0.365728,17.4,20,120,10,35.1,3.3,0,14.09,0.03,0,0,5,2
0.365706,44,1417.06,OVI 1038,0.365707,7.9,19,60,60,38.3,9.7,0,14.03,0.1,0,0,5,2
0.366199,35,1660.82,Lya 1215,0.366199,36.7,13,436,63,30,4,1,14.79,0.23,1,9,12,3
0.366199,35,1401.31,Lyb 1025,0.366159,39.5,18,255,15,24.2,1.6,1,15.15,0.08,0,7,12,3
0.366199,35,1328.71,Lyc 972,0.366228,32.3,20,194,7,27.6,1.2,0,15.2,0.02,1,2,12,3
0.366199,35,1297.54,Lyd 949,0.366212,11.6,12,116,9,28.4,2.3,0,15.16,0.03,1,1,12,3
0.366199,35,1281.25,Lye 937,0.366224,10,16,73,5,26.7,3.3,0,15.17,0.04,0,0,12,3
0.366199,35,1271.57,Ly6 930,0.36618,9.5,20,50,9,21.2,3.4,0,15.21,0.07,0,0,12,3
0.366199,35,1265.41,Ly7 926,0.36619,5.3,19,28,7,19.1,5.4,0,15.12,0.09,0,0,12,3
0.366199,35,1261.25,Ly8 923,0.366241,5,17,32,9,22.6,6.2,0,15.39,0.16,0,0,12,3
0.366199,35,1258.21,Ly9 920,0.366189,4.9,22,20,6,14,6.1,0,15.27,0.11,0,0,12,3
0.366199,35,1409.82,OVI 1032,0.366222,17.8,19,120,120,29.8,2,0,14.11,0.02,1,0,12,3
0.366199,35,1417.57,OVI 1038,0.366188,8.6,19,60,4,32,3.6,0,14.04,0.03,1,0,12,3
0.366199,35,1648.34,SiIII 1206,0.366241,7.4,10,86,11,15.4,2.8,0,12.77,0.06,0,1,12,3
0.370386,30,1665.91,Lya 1215,0.370386,23.9,12,275,22,23.3,2,1,14.23,0.09,0,5,4,1
0.370386,30,1405.59,Lyb 1025,0.370346,18.5,16,161,9,36.1,2,0,14.48,0.03,0,1,4,1
0.370386,30,1332.77,Lyc 972,0.370402,12.4,19,74,4,24.1,2.8,0,14.58,0.03,0,0,4,1
0.370386,30,1414.04,OVI 1032,0.370293,4.9,19,48,6,61.6,11.5,0,13.61,0.06,0,0,4,1
0.378398,30,1675.65,Lya 1215,0.378398,5.4,13,43,11,11,5.4,0,13,0.12,0,0,1,0
0.386094,75,1685.06,Lya 1215,0.386139,40.2,12,604,85,41.9,5.9,1,14.91,0.18,0,9,14,7
0.386094,75,1685.29,Lya 1215,0.386331,6.4,12,144,65,86.7,32.3,0,13.46,0.21,0,0,14,7
0.386094,75,1421.69,Lyb 1025,0.386019,42.9,25,216,6,29.5,1.3,0,14.76,0.02,0,2,14,7
0.386094,75,1421.86,Lyb 1025,0.3862,17.6,26,121,11,59,6.2,0,14.27,0.05,0,0,14,7
0.386094,75,1347.94,Lyc 972,0.386007,16.6,17,111,5,24.7,2,0,14.82,0.03,0,1,14,7
0.386094,75,1348.22,Lyc 972,0.386296,4.6,17,39,9,41.9,12.9,0,14.24,0.1,0,0,14,7
0.386094,75,1299.78,Lye 937,0.386004,3.3,11,30,11,19.2,7.5,0,14.74,0.13,0,0,14,7
0.386094,75,1430.34,OVI 1032,0.386088,15.6,27,77,7,25.6,3.5,0,13.88,0.05,0,0,14,7
0.386094,75,1430.63,OVI 1032,0.386369,11.9,27,59,59,26.3,4.6,0,13.74,0.06,0,0,14,7
0.386094,75,1438.2,OVI 1038,0.386061,4.5,19,29,8,20.3,5.3,0,13.71,0.11,0,0,14,7
0.386094,75,1438.58,OVI 1038,0.386427,7.8,19,80,14,57.7,8.5,0,14.14,0.06,0,0,14,7
0.386094,75,1154.43,OIII 832,0.385992,5.5,11,39,12,10.3,5.5,0,13.93,0.12,0,1,14,7
0.386094,75,1717.07,NV 1238,0.386052,4.6,13,57,37,32.1,9,0,13.47,0.21,0,0,14,7
0.386094,75,1354.18,CIII 977,0.386031,15.9,17,85,6,14.2,1.4,0,13.35,0.03,0,1,14,7
0.394151,30,1694.8,Lya 1215,0.394151,4.8,12,75,17,45.7,11.5,0,13.18,0.09,0,0,1,0
0.40133,41,1703.53,Lya 1215,0.40133,43.8,13,532,54,32.4,3.2,1,15.2,0.28,1,9,12,4
0.40133,41,1437.41,Lyb 1025,0.401354,43,21,315,5,36.2,1,1,15.03,0.01,1,3,12,4
0.40133,41,1362.86,Lyc 972,0.401366,31.3,21,182,7,29.4,1.3,0,15.12,0.02,1,1,12,4
0.40133,41,1330.94,Lyd 949,0.401368,14.1,20,89,80,32.5,6.7,0,14.99,0.11,0,0,12,4
0.40133,41,1314.24,Lye 937,0.401402,9.7,16,75,15,31.2,4.6,0,15.17,0.07,0,0,12,4
0.40133,41,1297.99,Ly7 926,0.401372,3.1,12,30,5,27.4,1.6,0,15.18,0.12,0,0,12,4
0.40133,41,1293.68,Ly8 923,0.401375,5,16,29,8,16.4,5.5,0,15.3,0.1,0,0,12,4
0.40133,41,1288.37,Ly10 919,0.401401,3.3,16,24,12,27.6,10.4,0,15.46,0.16,0,0,12,4
0.40133,41,1446.12,OVI 1032,0.401379,24.1,23,161,8,36.1,1.5,0,14.25,0.02,1,1,12,4
0.40133,41,1454.08,OVI 1038,0.401385,16.3,24,91,7,26.2,2.6,0,14.27,0.03,0,0,12,4
0.40133,41,1167.23,OIII 832,0.401359,9.4,16,53,8,16.7,3.5,0,14.04,0.06,0,0,12,4
0.40133,41,1369.18,CIII 977,0.401374,18,18,81,8,10.2,1.4,1,13.47,0.08,0,3,12,4
0.409698,30,1713.7,Lya 1215,0.409698,7,12,72,9,18.7,3.8,0,13.22,0.06,0,0,1,0
