H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.25892e+16	7.69271e+19	6.82965e+12	4.56913e+14	4.79993e+14	2.53049e+14	7.20118e+13	9.03126e+10	2.66675e+12	4.49155e+12
1.25892e+16	7.30284e+19	7.09769e+12	4.59482e+14	4.64566e+14	2.24454e+14	6.12763e+13	9.97827e+10	2.91129e+12	4.75487e+12
1.25892e+16	6.93311e+19	7.36710e+12	4.61373e+14	4.48926e+14	1.98819e+14	5.20727e+13	1.10026e+11	3.17237e+12	5.02434e+12
1.25892e+16	6.58253e+19	7.63725e+12	4.62579e+14	4.33127e+14	1.75878e+14	4.41947e+13	1.21078e+11	3.45036e+12	5.29909e+12
1.25892e+16	6.25003e+19	7.90752e+12	4.63099e+14	4.17228e+14	1.55380e+14	3.74602e+13	1.32968e+11	3.74552e+12	5.57822e+12
1.25892e+16	5.93468e+19	8.17715e+12	4.62921e+14	4.01268e+14	1.37092e+14	3.17128e+13	1.45727e+11	4.05799e+12	5.86057e+12
1.25892e+16	5.63557e+19	8.44548e+12	4.62047e+14	3.85301e+14	1.20801e+14	2.68162e+13	1.59379e+11	4.38781e+12	6.14496e+12
1.25892e+16	5.35181e+19	8.71162e+12	4.60481e+14	3.69376e+14	1.06310e+14	2.26497e+13	1.73941e+11	4.73476e+12	6.43010e+12
1.25892e+16	5.08259e+19	8.97499e+12	4.58236e+14	3.53544e+14	9.34401e+13	1.91085e+13	1.89428e+11	5.09855e+12	6.71456e+12
1.25892e+16	4.82715e+19	9.23484e+12	4.55319e+14	3.37847e+14	8.20254e+13	1.61025e+13	2.05848e+11	5.47865e+12	6.99678e+12
1.25892e+16	4.58476e+19	9.49039e+12	4.51750e+14	3.22332e+14	7.19155e+13	1.35538e+13	2.23199e+11	5.87431e+12	7.27513e+12
1.25892e+16	4.35471e+19	9.74099e+12	4.47549e+14	3.07041e+14	6.29737e+13	1.13952e+13	2.41469e+11	6.28452e+12	7.54786e+12
1.25892e+16	4.13636e+19	9.98592e+12	4.42737e+14	2.92011e+14	5.50757e+13	9.56930e+12	2.60640e+11	6.70806e+12	7.81314e+12
1.25892e+16	3.92910e+19	1.02246e+13	4.37342e+14	2.77280e+14	4.81091e+13	8.02652e+12	2.80683e+11	7.14345e+12	8.06908e+12
1.25892e+16	3.73234e+19	1.04564e+13	4.31395e+14	2.62882e+14	4.19719e+13	6.72443e+12	3.01554e+11	7.58892e+12	8.31375e+12
1.25892e+16	3.54553e+19	1.06807e+13	4.24926e+14	2.48845e+14	3.65725e+13	5.62677e+12	3.23202e+11	8.04241e+12	8.54520e+12
1.25892e+16	3.36814e+19	1.08970e+13	4.17969e+14	2.35197e+14	3.18280e+13	4.70248e+12	3.45561e+11	8.50162e+12	8.76147e+12
1.25892e+16	3.19968e+19	1.11047e+13	4.10558e+14	2.21958e+14	2.76646e+13	3.92512e+12	3.68553e+11	8.96397e+12	8.96062e+12
1.25892e+16	3.03975e+19	1.13040e+13	4.02741e+14	2.09150e+14	2.40160e+13	3.27223e+12	3.92104e+11	9.42690e+12	9.14062e+12
1.25892e+16	2.88779e+19	1.14934e+13	3.94537e+14	1.96788e+14	2.08219e+13	2.72429e+12	4.16088e+11	9.88694e+12	9.29998e+12
1.25892e+16	2.74346e+19	1.16734e+13	3.85996e+14	1.84884e+14	1.80296e+13	2.26512e+12	4.40408e+11	1.03411e+13	9.43687e+12
1.25892e+16	2.60636e+19	1.18435e+13	3.77159e+14	1.73450e+14	1.55915e+13	1.88079e+12	4.64943e+11	1.07861e+13	9.54982e+12
1.25892e+16	2.47612e+19	1.20037e+13	3.68066e+14	1.62490e+14	1.34655e+13	1.55953e+12	4.89569e+11	1.12184e+13	9.63748e+12
