# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_nH log_Te parameters
1.1749e+16 2.08062e+19 11458900000000.0 324811000000000.0 132254000000000.0 9357670000000.0 998830000000.0 502186000000.0 11212800000000.0 9055710000000.0 -3.46 4.323 [-3.46]
1.1749e+16 1.97675e+19 11581700000000.0 315895000000000.0 123387000000000.0 8049780000000.0 824766000000.0 524695000000.0 11562000000000.0 9061490000000.0 -3.44 4.32 [-3.44]
1.1749e+16 1.87797e+19 11694100000000.0 306859000000000.0 114957000000000.0 6914640000000.0 679938000000.0 546747000000.0 11886300000000.0 9041480000000.0 -3.42 4.317 [-3.42]
1.1749e+16 1.78413e+19 11797300000000.0 297758000000000.0 106961000000000.0 5931250000000.0 559693000000.0 568262000000.0 12183500000000.0 8995380000000.0 -3.4 4.314 [-3.4]
1.1749e+16 1.69498e+19 11891600000000.0 288623000000000.0 99389300000000.0 5080430000000.0 459997000000.0 589121000000.0 12451300000000.0 8923540000000.0 -3.38 4.311 [-3.38]
1.1749e+16 1.61027e+19 11977100000000.0 279482000000000.0 92234100000000.0 4345320000000.0 377459000000.0 609218000000.0 12687300000000.0 8826600000000.0 -3.36 4.308 [-3.36]
1.1749e+16 1.5298e+19 12053900000000.0 270364000000000.0 85485800000000.0 3711150000000.0 309237000000.0 628444000000.0 12889700000000.0 8705580000000.0 -3.34 4.304 [-3.34]
1.1749e+16 1.45334e+19 12122600000000.0 261296000000000.0 79130200000000.0 3164700000000.0 252925000000.0 646740000000.0 13057300000000.0 8561420000000.0 -3.32 4.301 [-3.32]
1.1749e+16 1.3807e+19 12183600000000.0 252301000000000.0 73154800000000.0 2694560000000.0 206520000000.0 664041000000.0 13189200000000.0 8395490000000.0 -3.3 4.298 [-3.3]
1.1749e+16 1.31169e+19 12236800000000.0 243400000000000.0 67548100000000.0 2290740000000.0 168347000000.0 680265000000.0 13284600000000.0 8209670000000.0 -3.28 4.295 [-3.28]
