# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_nH parameters
158489000000000.0 7.72535e+17 197625000000.0 19565400000000.0 31110600000000.0 17983800000000.0 4127800000000.0 2626130000.0 107987000000.0 379112000000.0 -3.98 [-3.98]
158489000000000.0 7.3271e+17 208553000000.0 19783400000000.0 30226100000000.0 15870500000000.0 3487290000000.0 2915620000.0 117317000000.0 401430000000.0 -3.96 [-3.96]
158489000000000.0 6.95019e+17 219922000000.0 19981000000000.0 29320400000000.0 13984700000000.0 2942650000000.0 3233400000.0 127251000000.0 424201000000.0 -3.94 [-3.94]
158489000000000.0 6.5935e+17 231729000000.0 20157000000000.0 28396200000000.0 12305200000000.0 2480250000000.0 3581820000.0 137805000000.0 447344000000.0 -3.92 [-3.92]
158489000000000.0 6.25587e+17 243963000000.0 20310200000000.0 27456200000000.0 10812100000000.0 2088170000000.0 3963210000.0 148994000000.0 470775000000.0 -3.9 [-3.9]
158489000000000.0 5.93625e+17 256611000000.0 20439400000000.0 26503300000000.0 9487090000000.0 1756160000000.0 4380060000.0 160826000000.0 494397000000.0 -3.88 [-3.88]
158489000000000.0 5.63365e+17 269661000000.0 20543800000000.0 25540500000000.0 8313350000000.0 1475380000000.0 4835000000.0 173311000000.0 518105000000.0 -3.86 [-3.86]
158489000000000.0 5.34712e+17 283087000000.0 20622000000000.0 24570900000000.0 7275310000000.0 1238210000000.0 5330580000.0 186449000000.0 541785000000.0 -3.84 [-3.84]
158489000000000.0 5.07578e+17 296878000000.0 20673900000000.0 23597300000000.0 6358760000000.0 1038110000000.0 5869560000.0 200240000000.0 565317000000.0 -3.82 [-3.82]
158489000000000.0 4.81879e+17 311006000000.0 20698700000000.0 22622900000000.0 5550750000000.0 869494000000.0 6454690000.0 214677000000.0 588570000000.0 -3.8 [-3.8]
158489000000000.0 4.57537e+17 325442000000.0 20695600000000.0 21650700000000.0 4839510000000.0 727554000000.0 7088620000.0 229746000000.0 611410000000.0 -3.78 [-3.78]
158489000000000.0 4.3447e+17 340151000000.0 20664400000000.0 20683500000000.0 4214250000000.0 608178000000.0 7773950000.0 245422000000.0 633701000000.0 -3.76 [-3.76]
158489000000000.0 4.1261e+17 355098000000.0 20604400000000.0 19724500000000.0 3665360000000.0 507891000000.0 8513250000.0 261678000000.0 655293000000.0 -3.74 [-3.74]
158489000000000.0 3.91892e+17 370254000000.0 20516400000000.0 18776300000000.0 3184210000000.0 423724000000.0 9309040000.0 278477000000.0 676040000000.0 -3.72 [-3.72]
158489000000000.0 3.7225e+17 385577000000.0 20400100000000.0 17841700000000.0 2762950000000.0 353155000000.0 10163600000.0 295774000000.0 695791000000.0 -3.7 [-3.7]
158489000000000.0 3.53627e+17 401026000000.0 20255900000000.0 16923100000000.0 2394630000000.0 294047000000.0 11079000000.0 313515000000.0 714392000000.0 -3.68 [-3.68]
158489000000000.0 3.35965e+17 416555000000.0 20084100000000.0 16023200000000.0 2072980000000.0 244582000000.0 12056900000.0 331630000000.0 731696000000.0 -3.66 [-3.66]
158489000000000.0 3.19206e+17 432128000000.0 19885400000000.0 15143600000000.0 1792360000000.0 203218000000.0 13099000000.0 350046000000.0 747559000000.0 -3.64 [-3.64]
158489000000000.0 3.03301e+17 447722000000.0 19661100000000.0 14286000000000.0 1547770000000.0 168658000000.0 14208200000.0 368717000000.0 761808000000.0 -3.62 [-3.62]
158489000000000.0 2.8822e+17 463253000000.0 19412000000000.0 13453700000000.0 1335140000000.0 139843000000.0 15382100000.0 387494000000.0 774347000000.0 -3.6 [-3.6]
158489000000000.0 2.73908e+17 478695000000.0 19139100000000.0 12647500000000.0 1150360000000.0 115825000000.0 16622300000.0 406299000000.0 785033000000.0 -3.58 [-3.58]
158489000000000.0 2.60324e+17 494009000000.0 18843900000000.0 11868700000000.0 989957000000.0 95823300000.0 17929000000.0 425028000000.0 793757000000.0 -3.56 [-3.56]
158489000000000.0 2.47428e+17 509158000000.0 18527800000000.0 11118200000000.0 850887000000.0 79184200000.0 19301400000.0 443564000000.0 800419000000.0 -3.54 [-3.54]
158489000000000.0 2.35183e+17 524095000000.0 18192100000000.0 10397300000000.0 730453000000.0 65356400000.0 20738400000.0 461787000000.0 804935000000.0 -3.52 [-3.52]
158489000000000.0 2.23555e+17 538784000000.0 17838400000000.0 9706350000000.0 626281000000.0 53877200000.0 22238200000.0 479575000000.0 807241000000.0 -3.5 [-3.5]
158489000000000.0 2.12514e+17 553197000000.0 17468800000000.0 9045980000000.0 536296000000.0 44359700000.0 23799000000.0 496811000000.0 807290000000.0 -3.48 [-3.48]
