# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
933253000000000.0 8.35789e+18 367269000000.0 26735600000000.0 37071200000000.0 31279200000.0 4997870000000.0 13107000000000.0 6070780.0 14706700000000.0 50637600000000.0 23104500000000.0 124454000.0 2322780000.0 73250600000.0 150342000000.0 3752630000000.0 -4.42 4.442 [-4.42]
933254000000000.0 7.92908e+18 386260000000.0 27295300000000.0 36452800000000.0 32990300000.0 5112390000000.0 12303800000000.0 6778640.0 15145200000000.0 45627400000000.0 19918200000000.0 139775000.0 2617710000.0 81483500000.0 162186000000.0 3828640000000.0 -4.4 4.439 [-4.4]
933254000000000.0 7.52262e+18 405722000000.0 27827000000000.0 35793300000000.0 34749300000.0 5221150000000.0 11527100000000.0 7572120.0 15578000000000.0 41044600000000.0 17145700000000.0 156700000.0 2944270000.0 90487100000.0 174680000000.0 3899230000000.0 -4.38 4.435 [-4.38]
933254000000000.0 7.13731e+18 425624000000.0 28327900000000.0 35094300000000.0 36555200000.0 5323730000000.0 10778400000000.0 8462150.0 16004400000000.0 36861700000000.0 14737600000000.0 175357000.0 3305030000.0 100312000000.0 187828000000.0 3963950000000.0 -4.36 4.431 [-4.36]
933253000000000.0 6.77205e+18 445931000000.0 28795500000000.0 34357800000000.0 38406900000.0 5419800000000.0 10058900000000.0 9461030.0 16423400000000.0 33051900000000.0 12649500000000.0 195880000.0 3702630000.0 111011000000.0 201630000000.0 4022350000000.0 -4.34 4.428 [-4.34]
933253000000000.0 6.4258e+18 466609000000.0 29227400000000.0 33585800000000.0 40303800000.0 5509060000000.0 9369410000000.0 10582700.0 16834300000000.0 29589200000000.0 10842100000000.0 218404000.0 4139830000.0 122635000000.0 216080000000.0 4074000000000.0 -4.32 4.424 [-4.32]
933253000000000.0 6.09757e+18 487615000000.0 29621200000000.0 32780700000000.0 42244800000.0 5591230000000.0 8710660000000.0 11842900.0 17236100000000.0 26448100000000.0 9280020000000.0 243067000.0 4619430000.0 135235000000.0 231168000000.0 4118500000000.0 -4.3 4.42 [-4.3]
933253000000000.0 5.78635e+18 508901000000.0 29974600000000.0 31944600000000.0 44228700000.0 5666040000000.0 8083020000000.0 13259500.0 17628100000000.0 23604300000000.0 7932190000000.0 270013000.0 5144250000.0 148859000000.0 246877000000.0 4155440000000.0 -4.28 4.417 [-4.28]
933254000000000.0 5.49132e+18 530423000000.0 30285600000000.0 31080400000000.0 46255100000.0 5733320000000.0 7486710000000.0 14852400.0 18009500000000.0 21034600000000.0 6771090000000.0 299377000.0 5717180000.0 163557000000.0 263185000000.0 4184480000000.0 -4.26 4.413 [-4.26]
933254000000000.0 5.21161e+18 552134000000.0 30552600000000.0 30191000000000.0 48323200000.0 5792920000000.0 6921710000000.0 16644100.0 18379500000000.0 18717100000000.0 5772370000000.0 331294000.0 6341070000.0 179373000000.0 280062000000.0 4205320000000.0 -4.24 4.41 [-4.24]
