# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
33113100000000.0 4682640000000000.0 1367700000000.0 9903030000000.0 1282610000000.0 368646000000.0 2171200000000.0 48952500000.0 16623900000.0 15038800000000.0 5354010000.0 76189600.0 3391360000.0 531290000000.0 286037000000.0 549633000000.0 155248000000.0 -3.76 [-3.76]
33113100000000.0 4431650000000000.0 1352390000000.0 9386570000000.0 1156670000000.0 374220000000.0 2060510000000.0 42132800000.0 18126100000.0 14276400000000.0 4351300000.0 59167900.0 3358340000.0 534664000000.0 268224000000.0 505660000000.0 133445000000.0 -3.74 [-3.74]
33113100000000.0 4195630000000000.0 1337400000000.0 8896320000000.0 1042150000000.0 379543000000.0 1953980000000.0 36254200000.0 19727500000.0 13535800000000.0 3533550000.0 45933700.0 3321860000.0 536493000000.0 250924000000.0 464476000000.0 114520000000.0 -3.72 [-3.72]
33113100000000.0 3973720000000000.0 1322730000000.0 8431130000000.0 938118000000.0 384605000000.0 1851570000000.0 31189200000.0 21430400000.0 12818500000000.0 2867350000.0 35651400.0 3282350000.0 536833000000.0 234221000000.0 426034000000.0 98136000000.0 -3.7 [-3.7]
33113100000000.0 3765060000000000.0 1308410000000.0 7989850000000.0 843724000000.0 389397000000.0 1753260000000.0 26827200000.0 23236900000.0 12125300000000.0 2325170000.0 27667100.0 3240180000.0 535755000000.0 218183000000.0 390265000000.0 83988600000.0 -3.68 [-3.68]
33113100000000.0 3568900000000000.0 1294450000000.0 7571450000000.0 758170000000.0 393910000000.0 1659010000000.0 23072300000.0 25148300000.0 11457400000000.0 1884390000.0 21470900.0 3195760000.0 533342000000.0 202864000000.0 357084000000.0 71801400000.0 -3.66 [-3.66]
33113100000000.0 3384480000000000.0 1280860000000.0 7174830000000.0 680714000000.0 398136000000.0 1568770000000.0 19841000000.0 27165800000.0 10815100000000.0 1526350000.0 16664100.0 3149400000.0 529690000000.0 188299000000.0 326387000000.0 61325300000.0 -3.64 [-3.64]
33113100000000.0 3211070000000000.0 1267620000000.0 6798920000000.0 610666000000.0 402066000000.0 1482450000000.0 17061000000.0 29290200000.0 10199000000000.0 1235740000.0 12935600.0 3101400000.0 524902000000.0 174509000000.0 298057000000.0 52336400000.0 -3.62 [-3.62]
33113100000000.0 3047990000000000.0 1254730000000.0 6442700000000.0 547389000000.0 405695000000.0 1399960000000.0 14669700000.0 31521800000.0 9608970000000.0 1000020000.0 10044000.0 3052030000.0 519086000000.0 161503000000.0 271971000000.0 44636600000.0 -3.6 [-3.6]
33113100000000.0 2894590000000000.0 1242170000000.0 6105140000000.0 490290000000.0 409014000000.0 1321200000000.0 12613000000.0 33860600000.0 9045140000000.0 808943000.0 7801400.0 3001520000.0 512348000000.0 149279000000.0 247998000000.0 38050400000.0 -3.58 [-3.58]
33113100000000.0 2750250000000000.0 1229910000000.0 5785290000000.0 438820000000.0 412018000000.0 1246050000000.0 10844100000.0 36306300000.0 8507220000000.0 654128000.0 6061840.0 2950090000.0 504798000000.0 137826000000.0 226006000000.0 32423700000.0 -3.56 [-3.56]
33113100000000.0 2613990000000000.0 1217890000000.0 5481290000000.0 392356000000.0 414693000000.0 1174200000000.0 9318890000.0 38862900000.0 7993340000000.0 528480000.0 4709260.0 2897730000.0 496507000000.0 127095000000.0 205805000000.0 27610900000.0 -3.54 [-3.54]
33113100000000.0 2486430000000000.0 1206200000000.0 5194910000000.0 350769000000.0 417058000000.0 1106120000000.0 8014220000.0 41515300000.0 7507380000000.0 427240000.0 3664620.0 2845120000.0 487675000000.0 117147000000.0 187428000000.0 23526300000.0 -3.52 [-3.52]
