# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
999999000000000.0 1.19835e+18 46201700000000.0 1625560000000000.0 971323000000000.0 3215520000000.0 226461000000000.0 186994000000000.0 7319540000.0 1106170000000000.0 143841000000000.0 10834300000000.0 28206900000.0 1376210000000.0 12133800000000.0 73761600000000.0 209349000000000.0 -4.34 [-4.34]
999999000000000.0 1.10724e+18 47018100000000.0 1558450000000000.0 881738000000000.0 3423430000000.0 221089000000000.0 162669000000000.0 8745070000.0 1111400000000000.0 114521000000000.0 8128590000000.0 31831100000.0 1612040000000.0 12742300000000.0 73894000000000.0 193285000000000.0 -4.32 [-4.32]
999996000000000.0 1.02556e+18 47652800000000.0 1492350000000000.0 801585000000000.0 3636980000000.0 215878000000000.0 141565000000000.0 10378500000.0 1113670000000000.0 91698200000000.0 6143920000000.0 35575300000.0 1872140000000.0 13317500000000.0 73740400000000.0 178198000000000.0 -4.3 [-4.3]
999996000000000.0 9.51948e+17 48129900000000.0 1427630000000000.0 729656000000000.0 3855640000000.0 210768000000000.0 123248000000000.0 12243700000.0 1113140000000000.0 73791700000000.0 4673800000000.0 39416200000.0 2157100000000.0 13855600000000.0 73320900000000.0 164059000000000.0 -4.28 [-4.28]
999996000000000.0 8.85282e+17 48474500000000.0 1364670000000000.0 664899000000000.0 4078970000000.0 205722000000000.0 107332000000000.0 14367300000.0 1110000000000000.0 59637300000000.0 3575190000000.0 43329600000.0 2467630000000.0 14355100000000.0 72662400000000.0 150822000000000.0 -4.26 [-4.26]
999996000000000.0 8.2455e+17 48701500000000.0 1303510000000000.0 606359000000000.0 4306820000000.0 200694000000000.0 93471000000000.0 16782300000.0 1104420000000000.0 48358400000000.0 2746580000000.0 47293200000.0 2804860000000.0 14813900000000.0 71784600000000.0 138425000000000.0 -4.24 [-4.24]
999995000000000.0 7.69155e+17 48831300000000.0 1244450000000000.0 553402000000000.0 4537520000000.0 195686000000000.0 81416500000000.0 19516800000.0 1096560000000000.0 39343700000000.0 2119080000000.0 51275500000.0 3168310000000.0 15229900000000.0 70708300000000.0 126859000000000.0 -4.22 [-4.22]
999995000000000.0 7.18367e+17 48874300000000.0 1187430000000000.0 505339000000000.0 4770750000000.0 190665000000000.0 70910100000000.0 22611400000.0 1086580000000000.0 32089500000000.0 1640230000000.0 55253300000.0 3558760000000.0 15600900000000.0 69449300000000.0 116061000000000.0 -4.2 [-4.2]
999997000000000.0 6.71782e+17 48848600000000.0 1132660000000000.0 461706000000000.0 5006410000000.0 185645000000000.0 61767600000000.0 26095500000.0 1074660000000000.0 26241300000000.0 1273850000000.0 59195700000.0 3975070000000.0 15925500000000.0 68027900000000.0 106020000000000.0 -4.18 [-4.18]
999997000000000.0 6.28918e+17 48763300000000.0 1080100000000000.0 422015000000000.0 5244060000000.0 180617000000000.0 53804800000000.0 30011400000.0 1060940000000000.0 21505500000000.0 992081000000.0 63077900000.0 4416960000000.0 16202400000000.0 66459700000000.0 96690500000000.0 -4.16 [-4.16]
999997000000000.0 5.89317e+17 48623100000000.0 1029600000000000.0 385820000000000.0 5483450000000.0 175565000000000.0 46857700000000.0 34409000000.0 1045530000000000.0 17651500000000.0 774188000000.0 66876000000.0 4884160000000.0 16428900000000.0 64757700000000.0 88020700000000.0 -4.14 [-4.14]
999997000000000.0 5.52805e+17 48448100000000.0 981387000000000.0 352834000000000.0 5723540000000.0 170527000000000.0 40815200000000.0 39318200000.0 1028630000000000.0 14517800000000.0 605746000000.0 70566400000.0 5373710000000.0 16606200000000.0 62944700000000.0 80007600000000.0 -4.12 [-4.12]
999996000000000.0 5.1896e+17 48233500000000.0 935173000000000.0 322688000000000.0 5964350000000.0 165479000000000.0 35544000000000.0 44803200000.0 1010330000000000.0 11954300000000.0 474680000000.0 74127600000.0 5885620000000.0 16731700000000.0 61029500000000.0 72589300000000.0 -4.1 [-4.1]
999998000000000.0 4.87557e+17 47987900000000.0 890953000000000.0 295123000000000.0 6205410000000.0 160433000000000.0 30947900000000.0 50916500000.0 990772000000000.0 9853890000000.0 372501000000.0 77540600000.0 6417730000000.0 16805300000000.0 59027800000000.0 65737500000000.0 -4.08 [-4.08]
999998000000000.0 4.5835e+17 47713300000000.0 848620000000000.0 269887000000000.0 6446460000000.0 155391000000000.0 26937900000000.0 57720700000.0 970047000000000.0 8128340000000.0 292605000000.0 80786300000.0 6968220000000.0 16826000000000.0 56951600000000.0 59415300000000.0 -4.06 [-4.06]
999997000000000.0 4.31189e+17 47419100000000.0 808195000000000.0 246788000000000.0 6686840000000.0 150372000000000.0 23443800000000.0 65268900000.0 948310000000000.0 6710400000000.0 230104000000.0 83851400000.0 7533640000000.0 16794800000000.0 54817800000000.0 53600600000000.0 -4.04 [-4.04]
999998000000000.0 4.05872e+17 47105900000000.0 769557000000000.0 225622000000000.0 6926400000000.0 145377000000000.0 20397000000000.0 73634900000.0 925652000000000.0 5542360000000.0 181078000000.0 86722300000.0 8111600000000.0 16711700000000.0 52637300000000.0 48257800000000.0 -4.02 [-4.02]
999997000000000.0 3.82252e+17 46777200000000.0 732650000000000.0 206223000000000.0 7164650000000.0 140418000000000.0 17741400000000.0 82885100000.0 902189000000000.0 4579270000000.0 142579000000.0 89387700000.0 8698540000000.0 16577500000000.0 50423500000000.0 43359400000000.0 -4.0 [-4.0]
999998000000000.0 3.60154e+17 46430100000000.0 697332000000000.0 188426000000000.0 7401580000000.0 135491000000000.0 15424100000000.0 93112300000.0 877986000000000.0 3783190000000.0 112269000000.0 91835900000.0 9291920000000.0 16392000000000.0 48184800000000.0 38871000000000.0 -3.98 [-3.98]
999998000000000.0 3.39463e+17 46067100000000.0 663551000000000.0 172097000000000.0 7636850000000.0 130606000000000.0 13402900000000.0 104398000000.0 853146000000000.0 3124840000000.0 88393900000.0 94058600000.0 9887770000000.0 16157000000000.0 45933300000000.0 34767800000000.0 -3.96 [-3.96]
999999000000000.0 3.20081e+17 45691500000000.0 631266000000000.0 157117000000000.0 7870080000000.0 125774000000000.0 11641200000000.0 116827000000.0 827777000000000.0 2580370000000.0 69585200000.0 96052200000.0 10481800000000.0 15874600000000.0 43681200000000.0 31026800000000.0 -3.94 [-3.94]
999999000000000.0 3.01933e+17 45311800000000.0 600503000000000.0 143346000000000.0 8101360000000.0 121014000000000.0 10103600000000.0 130521000000.0 802243000000000.0 2129470000000.0 54752800000.0 97825100000.0 11073600000000.0 15554200000000.0 41459600000000.0 27602400000000.0 -3.92 [-3.92]
999999000000000.0 2.84896e+17 44921000000000.0 571091000000000.0 130707000000000.0 8330140000000.0 116319000000000.0 8763950000000.0 145564000000.0 776338000000000.0 1756200000000.0 43056600000.0 99364800000.0 11655500000000.0 15190600000000.0 39254600000000.0 24493100000000.0 -3.9 [-3.9]
999998000000000.0 2.68891e+17 44520100000000.0 542979000000000.0 119109000000000.0 8556060000000.0 111695000000000.0 7597460000000.0 162057000000.0 750142000000000.0 1447290000000.0 33836700000.0 100671000000.0 12222400000000.0 14786800000000.0 37075500000000.0 21678900000000.0 -3.88 [-3.88]
999999000000000.0 2.53847e+17 44110300000000.0 516116000000000.0 108471000000000.0 8778910000000.0 107149000000000.0 6582250000000.0 180112000000.0 723743000000000.0 1191700000000.0 26570400000.0 101745000000.0 12769800000000.0 14346400000000.0 34931300000000.0 19138500000000.0 -3.86 [-3.86]
999999000000000.0 2.39699e+17 43693000000000.0 490452000000000.0 98713900000000.0 8998340000000.0 102686000000000.0 5699210000000.0 199841000000.0 697226000000000.0 980339000000.0 20846700000.0 102592000000.0 13293200000000.0 13873200000000.0 32830800000000.0 16852100000000.0 -3.84 [-3.84]
999999000000000.0 2.26385e+17 43268900000000.0 465938000000000.0 89769000000000.0 9214110000000.0 98313100000000.0 4931530000000.0 221365000000.0 670673000000000.0 805636000000.0 16340600000.0 103216000000.0 13788100000000.0 13371400000000.0 30781600000000.0 14800000000000.0 -3.82 [-3.82]
999999000000000.0 2.13855e+17 42839600000000.0 442535000000000.0 81572000000000.0 9425880000000.0 94034900000000.0 4264650000000.0 244802000000.0 644170000000000.0 661364000000.0 12796300000.0 103625000000.0 14250400000000.0 12845600000000.0 28791400000000.0 12964300000000.0 -3.8 [-3.8]
999999000000000.0 2.0206e+17 42406600000000.0 420204000000000.0 74064300000000.0 9633340000000.0 89857000000000.0 3685750000000.0 270273000000.0 617799000000000.0 542335000000.0 10011100000.0 103829000000.0 14676100000000.0 12300600000000.0 26866700000000.0 11327300000000.0 -3.78 [-3.78]
999999000000000.0 1.90956e+17 41971400000000.0 398907000000000.0 67192100000000.0 9836070000000.0 85784600000000.0 3183640000000.0 297896000000.0 591643000000000.0 444240000000.0 7824740000.0 103838000000.0 15061700000000.0 11741400000000.0 25013300000000.0 9872340000000.0 -3.76 [-3.76]
999998000000000.0 1.80507e+17 41536000000000.0 378614000000000.0 60908300000000.0 10033900000000.0 81823300000000.0 2748600000000.0 327788000000.0 565789000000000.0 363512000000.0 6110830000.0 103663000000.0 15404400000000.0 11173000000000.0 23236900000000.0 8583870000000.0 -3.74 [-3.74]
999999000000000.0 1.70665e+17 41101700000000.0 359274000000000.0 55161200000000.0 10226400000000.0 77973600000000.0 2371660000000.0 360080000000.0 540288000000000.0 297109000000.0 4767740000.0 103317000000.0 15701900000000.0 10599700000000.0 21539800000000.0 7445770000000.0 -3.72 [-3.72]
999999000000000.0 1.614e+17 40670000000000.0 340858000000000.0 49911500000000.0 10413300000000.0 74240300000000.0 2045460000000.0 394877000000.0 515220000000000.0 242578000000.0 3716880000.0 102813000000.0 15952400000000.0 10026500000000.0 19925800000000.0 6444200000000.0 -3.7 [-3.7]
1000000000000000.0 1.52679e+17 40242500000000.0 323336000000000.0 45120600000000.0 10594200000000.0 70626300000000.0 1763380000000.0 432289000000.0 490654000000000.0 197856000000.0 2895590000.0 102163000000.0 16154700000000.0 9457610000000.0 18397000000000.0 5565670000000.0 -3.68 [-3.68]
999999000000000.0 1.44475e+17 39821400000000.0 306676000000000.0 40752700000000.0 10768700000000.0 67134600000000.0 1519690000000.0 472407000000.0 466654000000000.0 161233000000.0 2254510000.0 101383000000.0 16308700000000.0 8897380000000.0 16954900000000.0 4797660000000.0 -3.66 [-3.66]
999999000000000.0 1.36753e+17 39406300000000.0 290836000000000.0 36773700000000.0 10936600000000.0 63764400000000.0 1309210000000.0 515343000000.0 443262000000000.0 131265000000.0 1754380000.0 100483000000.0 16414600000000.0 8348940000000.0 15599000000000.0 4128020000000.0 -3.64 [-3.64]
1000000000000000.0 1.29489e+17 38999200000000.0 275789000000000.0 33152900000000.0 11097600000000.0 60517800000000.0 1127580000000.0 561171000000.0 420533000000000.0 106780000000.0 1364660000.0 99477800000.0 16473400000000.0 7815720000000.0 14329000000000.0 3546020000000.0 -3.62 [-3.62]
999999000000000.0 1.22656e+17 38600500000000.0 261501000000000.0 29861800000000.0 11251400000000.0 57394500000000.0 970922000000.0 609973000000.0 398504000000000.0 86795000000.0 1061200000.0 98378200000.0 16486800000000.0 7300290000000.0 13143500000000.0 3041550000000.0 -3.6 [-3.6]
1000000000000000.0 1.16229e+17 38211100000000.0 247939000000000.0 26873500000000.0 11397600000000.0 54394200000000.0 835879000000.0 661807000000.0 377210000000000.0 70502900000.0 825082000.0 97196700000.0 16456700000000.0 6804860000000.0 12040400000000.0 2605440000000.0 -3.58 [-3.58]
1000000000000000.0 1.10183e+17 37830700000000.0 235067000000000.0 24162700000000.0 11536100000000.0 51514500000000.0 719484000000.0 716749000000.0 356668000000000.0 57230000000.0 641408000.0 95942400000.0 16385600000000.0 6330880000000.0 11016700000000.0 2229200000000.0 -3.56 [-3.56]
1000000000000000.0 1.04498e+17 37460400000000.0 222862000000000.0 21707500000000.0 11666500000000.0 48756000000000.0 619258000000.0 774807000000.0 336913000000000.0 46433200000.0 498677000.0 94627700000.0 16276500000000.0 5879940000000.0 10069900000000.0 1905520000000.0 -3.54 [-3.54]
999999000000000.0 9.9152e+16 37099600000000.0 211288000000000.0 19485700000000.0 11788600000000.0 46115400000000.0 532952000000.0 836029000000.0 317947000000000.0 37654700000.0 387757000.0 93260100000.0 16132400000000.0 5452600000000.0 9196100000000.0 1627500000000.0 -3.52 [-3.52]
1000000000000000.0 9.41231e+16 36748200000000.0 200314000000000.0 17477500000000.0 11902300000000.0 43590100000000.0 458646000000.0 900440000000.0 299777000000000.0 30522100000.0 301571000.0 91847800000.0 15956500000000.0 5049170000000.0 8391450000000.0 1389110000000.0 -3.5 [-3.5]
1000000000000000.0 8.93916e+16 36405500000000.0 189911000000000.0 15664300000000.0 12007300000000.0 41177100000000.0 394682000000.0 968048000000.0 282400000000000.0 24730500000.0 234606000.0 90397600000.0 15752100000000.0 4669680000000.0 7651970000000.0 1185010000000.0 -3.48 [-3.48]
999999000000000.0 8.49407e+16 36070900000000.0 180052000000000.0 14029600000000.0 12103400000000.0 38874200000000.0 339647000000.0 1038830000000.0 265819000000000.0 20031800000.0 182590000.0 88916100000.0 15522800000000.0 4313940000000.0 6973860000000.0 1010540000000.0 -3.46 [-3.46]
