#depth	Te	cC/dT	dt/dr	d^2T/dr^2
1.80522e+25	2.9218e+04	7.16e-38	-2.72e-23	1.81e-48
2.33838e+25	2.9107e+04	7.15e-38	-2.18e-23	1.06e-48
2.82318e+25	2.9022e+04	7.14e-38	-1.84e-23	7.49e-49
3.26326e+25	2.8952e+04	7.13e-38	-1.66e-23	4.15e-49
3.66226e+25	2.8908e+04	7.13e-38	-1.17e-23	1.31e-48
4.02368e+25	2.8849e+04	7.13e-38	-1.73e-23	-1.63e-48
4.35073e+25	2.8812e+04	7.13e-38	-1.19e-23	1.74e-48
4.64650e+25	2.8771e+04	7.12e-38	-1.48e-23	-1.03e-48
4.91384e+25	2.8745e+04	7.13e-38	-1.00e-23	1.87e-48
5.15536e+25	2.8712e+04	7.13e-38	-1.42e-23	-1.84e-48
5.37348e+25	2.8692e+04	7.13e-38	-9.96e-24	2.07e-48
5.57037e+25	2.8667e+04	7.13e-38	-1.34e-23	-1.82e-48
5.74801e+25	2.8654e+04	7.13e-38	-7.35e-24	3.57e-48
5.90827e+25	2.8631e+04	7.13e-38	-1.56e-23	-5.43e-48
6.05280e+25	2.8620e+04	7.13e-38	-7.52e-24	5.90e-48
6.18311e+25	2.8606e+04	7.13e-38	-1.14e-23	-3.13e-48
6.30059e+25	2.8596e+04	7.14e-38	-9.13e-24	2.03e-48
6.40648e+25	2.8584e+04	7.14e-38	-1.19e-23	-2.73e-48
6.50190e+25	2.8577e+04	7.14e-38	-8.52e-24	3.70e-48
6.58789e+25	2.8564e+04	7.14e-38	-1.54e-23	-8.42e-48
6.66683e+25	2.8564e+04	7.14e-38	-1.06e-25	2.00e-47
6.74325e+25	2.8543e+04	7.14e-38	-2.69e-23	-3.50e-47
6.81971e+25	2.8548e+04	7.14e-38	6.43e-24	4.36e-47
6.89623e+25	2.8518e+04	7.14e-38	-4.01e-23	-6.08e-47
6.97279e+25	2.8517e+04	7.14e-38	-4.35e-25	5.18e-47
7.04938e+25	2.8509e+04	7.14e-38	-1.10e-23	-1.38e-47
7.12602e+25	2.8509e+04	7.14e-38	2.51e-25	1.47e-47
7.20273e+25	2.8480e+04	7.14e-38	-3.77e-23	-4.94e-47
7.27947e+25	2.8479e+04	7.14e-38	-9.68e-25	4.78e-47
7.34158e+25	2.8488e+04	7.15e-38	1.87e-23	4.13e-47
7.34158e+25	2.8488e+04	7.15e-38	1.87e-23	0.00e+00
7.80566e+22	3.0009e+04	7.94e-38
4.68339e+23	2.9784e+04	7.96e-38	-3.60e-22
2.02085e+24	2.9372e+04	7.99e-38	-1.66e-22	7.83e-47
5.91484e+24	2.9062e+04	7.98e-38	-5.84e-23	2.03e-47
1.13105e+25	2.8840e+04	7.95e-38	-4.06e-23	3.24e-48
1.65477e+25	2.8693e+04	7.93e-38	-2.94e-23	2.25e-48
2.13134e+25	2.8587e+04	7.92e-38	-2.34e-23	1.32e-48
2.56456e+25	2.8505e+04	7.90e-38	-1.99e-23	8.40e-49
2.95776e+25	2.8437e+04	7.90e-38	-1.81e-23	5.02e-49
3.31420e+25	2.8394e+04	7.90e-38	-1.28e-23	1.55e-48
3.63703e+25	2.8337e+04	7.89e-38	-1.85e-23	-1.86e-48
3.92914e+25	2.8301e+04	7.89e-38	-1.31e-23	1.94e-48
4.19328e+25	2.8261e+04	7.88e-38	-1.58e-23	-1.06e-48
4.43201e+25	2.8236e+04	7.89e-38	-1.12e-23	2.00e-48
4.64767e+25	2.8204e+04	7.88e-38	-1.55e-23	-2.09e-48
