# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_nH log_Te parameters
1.25892e+16 8.75121e+18 94518500000000.0 1682530000000000.0 449736000000000.0 9986930000000.0 460899000000.0 7700060000000.0 72149700000000.0 94549700000000.0 -3.28 4.01 [-3.28]
1.25892e+16 8.32644e+18 95724500000000.0 1622980000000000.0 410058000000000.0 8418200000000.0 373735000000.0 8150490000000.0 72620500000000.0 90972000000000.0 -3.26 4.008 [-3.26]
1.25892e+16 7.92278e+18 96856700000000.0 1564150000000000.0 373473000000000.0 7085970000000.0 302634000000.0 8608300000000.0 72907700000000.0 87304100000000.0 -3.24 4.005 [-3.24]
1.25892e+16 7.53922e+18 97914800000000.0 1506180000000000.0 339793000000000.0 5956230000000.0 244719000000.0 9071940000000.0 73012000000000.0 83572600000000.0 -3.22 4.003 [-3.22]
1.25892e+16 7.17452e+18 98898700000000.0 1449130000000000.0 308815000000000.0 4999190000000.0 197593000000.0 9540400000000.0 72932800000000.0 79799300000000.0 -3.2 4.0 [-3.2]
1.25893e+16 6.8277e+18 99808600000000.0 1393100000000000.0 280358000000000.0 4189470000000.0 159295000000.0 10012100000000.0 72673500000000.0 76007400000000.0 -3.18 3.998 [-3.18]
1.25893e+16 6.49807e+18 100645000000000.0 1338200000000000.0 254268000000000.0 3505770000000.0 128235000000.0 10485400000000.0 72239300000000.0 72222000000000.0 -3.16 3.995 [-3.16]
1.25892e+16 6.18479e+18 101407000000000.0 1284510000000000.0 230381000000000.0 2929360000000.0 103083000000.0 10958400000000.0 71636000000000.0 68464000000000.0 -3.14 3.993 [-3.14]
1.25892e+16 5.88665e+18 102098000000000.0 1232030000000000.0 208510000000000.0 2443600000000.0 82723800000.0 11430900000000.0 70868100000000.0 64747800000000.0 -3.12 3.99 [-3.12]
1.25892e+16 5.60315e+18 102715000000000.0 1180850000000000.0 188530000000000.0 2035170000000.0 66282800000.0 11900300000000.0 69945600000000.0 61094200000000.0 -3.1 3.988 [-3.1]
1.25892e+16 5.33347e+18 103262000000000.0 1130990000000000.0 170292000000000.0 1692220000000.0 53023300000.0 12365500000000.0 68876600000000.0 57517400000000.0 -3.08 3.986 [-3.08]
1.25892e+16 5.077e+18 103738000000000.0 1082500000000000.0 153670000000000.0 1404760000000.0 42348900000.0 12824900000000.0 67671600000000.0 54032200000000.0 -3.06 3.983 [-3.06]
1.25892e+16 4.83293e+18 104145000000000.0 1035380000000000.0 138528000000000.0 1164110000000.0 33766000000.0 13277500000000.0 66338800000000.0 50648400000000.0 -3.04 3.981 [-3.04]
1.25892e+16 4.60054e+18 104482000000000.0 989628000000000.0 124746000000000.0 962914000000.0 26874000000.0 13722200000000.0 64888100000000.0 47374600000000.0 -3.02 3.979 [-3.02]
1.25892e+16 4.37969e+18 104752000000000.0 945343000000000.0 112238000000000.0 795241000000.0 21357800000.0 14156600000000.0 63334400000000.0 44224900000000.0 -3.0 3.976 [-3.0]
1.25892e+16 4.16938e+18 104956000000000.0 902441000000000.0 100878000000000.0 655524000000.0 16942900000.0 14580200000000.0 61684800000000.0 41199700000000.0 -2.98 3.974 [-2.98]
1.25892e+16 3.96924e+18 105093000000000.0 860953000000000.0 90579200000000.0 539369000000.0 13417500000.0 14991500000000.0 59952000000000.0 38305800000000.0 -2.96 3.972 [-2.96]
1.25892e+16 3.77875e+18 105166000000000.0 820871000000000.0 81251900000000.0 442975000000.0 10607300000.0 15389100000000.0 58147100000000.0 35546800000000.0 -2.94 3.969 [-2.94]
1.25892e+16 3.59744e+18 105175000000000.0 782182000000000.0 72813900000000.0 363122000000.0 8371190000.0 15772000000000.0 56281200000000.0 32924300000000.0 -2.92 3.967 [-2.92]
1.25892e+16 3.4249e+18 105122000000000.0 744886000000000.0 65189100000000.0 297103000000.0 6595210000.0 16138500000000.0 54366400000000.0 30439800000000.0 -2.9 3.965 [-2.9]
1.25892e+16 3.26062e+18 105007000000000.0 708947000000000.0 58304300000000.0 242612000000.0 5186850000.0 16488200000000.0 52411100000000.0 28091900000000.0 -2.88 3.962 [-2.88]
