# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
30902900000000.0 3.34431e+16 1485240000000.0 47346400000000.0 26236500000000.0 109798000000.0 6839120000000.0 4853990000000.0 287590000.0 33753800000000.0 3459460000000.0 244944000000.0 1021120000.0 50369900000.0 394441000000.0 2236520000000.0 5845630000000.0 -4.34 [-4.34]
30902900000000.0 3.09286e+16 1506070000000.0 45304400000000.0 23811300000000.0 116566000000.0 6663370000000.0 4212800000000.0 342131000.0 33818400000000.0 2753740000000.0 183820000000.0 1142550000.0 58636600000.0 412111000000.0 2231220000000.0 5378740000000.0 -4.32 [-4.32]
30902900000000.0 2.86688e+16 1521410000000.0 43303700000000.0 21639100000000.0 123497000000.0 6492680000000.0 3657720000000.0 404485000.0 33796400000000.0 2203910000000.0 138920000000.0 1266680000.0 67702200000.0 428584000000.0 2217730000000.0 4942060000000.0 -4.3 [-4.3]
30902900000000.0 2.66284e+16 1532090000000.0 41356400000000.0 19688300000000.0 130572000000.0 6325610000000.0 3177000000000.0 475502000.0 33693300000000.0 1772330000000.0 105634000000.0 1392600000.0 77580800000.0 443785000000.0 2196830000000.0 4534390000000.0 -4.28 [-4.28]
30902900000000.0 2.47779e+16 1538850000000.0 39470200000000.0 17931100000000.0 137777000000.0 6161100000000.0 2760310000000.0 556142000.0 33514600000000.0 1431210000000.0 80753600000.0 1519460000.0 88283200000.0 457658000000.0 2169220000000.0 4154300000000.0 -4.26 [-4.26]
30902900000000.0 2.3092e+16 1542250000000.0 37647900000000.0 16343700000000.0 145089000000.0 5998070000000.0 2398680000000.0 647528000.0 33265500000000.0 1159790000000.0 62009400000.0 1646430000.0 99821800000.0 470144000000.0 2135490000000.0 3800160000000.0 -4.24 [-4.24]
30902900000000.0 2.15523e+16 1542860000000.0 35894600000000.0 14907600000000.0 152443000000.0 5836220000000.0 2084920000000.0 750766000.0 32951300000000.0 942870000000.0 47811800000.0 1772530000.0 112182000000.0 481186000000.0 2096260000000.0 3470950000000.0 -4.22 [-4.22]
30902900000000.0 2.01416e+16 1541140000000.0 34211200000000.0 13605700000000.0 159868000000.0 5675150000000.0 1812500000000.0 867025000.0 32577200000000.0 768666000000.0 36996300000.0 1896950000.0 125351000000.0 490742000000.0 2052080000000.0 3165330000000.0 -4.2 [-4.2]
30902900000000.0 1.8846e+16 1537500000000.0 32598200000000.0 12423300000000.0 167347000000.0 5514730000000.0 1575880000000.0 997606000.0 32148400000000.0 628192000000.0 28717400000.0 2018870000.0 139308000000.0 498785000000.0 2003480000000.0 2882020000000.0 -4.18 [-4.18]
30902900000000.0 1.76523e+16 1532200000000.0 31053100000000.0 11347400000000.0 174865000000.0 5354610000000.0 1370180000000.0 1144000000.0 31668500000000.0 514419000000.0 22348500000.0 2137520000.0 154024000000.0 505253000000.0 1950940000000.0 2619620000000.0 -4.16 [-4.16]
30903000000000.0 1.65504e+16 1525550000000.0 29575600000000.0 10367400000000.0 182407000000.0 5194980000000.0 1191340000000.0 1307680000.0 31142400000000.0 422010000000.0 17432300000.0 2252210000.0 169453000000.0 510134000000.0 1894950000000.0 2377050000000.0 -4.14 [-4.14]
30903000000000.0 1.55313e+16 1517790000000.0 28163900000000.0 9473580000000.0 189959000000.0 5035890000000.0 1035830000000.0 1490300000.0 30574200000000.0 346729000000.0 13624300000.0 2362300000.0 185542000000.0 513409000000.0 1835980000000.0 2153140000000.0 -4.12 [-4.12]
30903000000000.0 1.45866e+16 1509070000000.0 26814900000000.0 8657290000000.0 197509000000.0 4877400000000.0 900506000000.0 1693710000.0 29967800000000.0 285216000000.0 10664900000.0 2467210000.0 202235000000.0 515058000000.0 1774440000000.0 1946720000000.0 -4.1 [-4.1]
30903000000000.0 1.37092e+16 1499520000000.0 25526200000000.0 7911070000000.0 205045000000.0 4719610000000.0 782725000000.0 1919850000.0 29326500000000.0 234832000000.0 8358620000.0 2566410000.0 219460000000.0 515073000000.0 1710730000000.0 1756680000000.0 -4.08 [-4.08]
30903000000000.0 1.28927e+16 1489270000000.0 24295100000000.0 7228270000000.0 212558000000.0 4562690000000.0 680181000000.0 2170830000.0 28653900000000.0 193477000000.0 6557150000.0 2659480000.0 237135000000.0 513456000000.0 1645260000000.0 1582000000000.0 -4.06 [-4.06]
30903000000000.0 1.21324e+16 1478440000000.0 23120000000000.0 6603430000000.0 220032000000.0 4406970000000.0 590953000000.0 2448740000.0 27953800000000.0 159497000000.0 5148220000.0 2746030000.0 255155000000.0 510233000000.0 1578470000000.0 1421830000000.0 -4.04 [-4.04]
30903000000000.0 1.14231e+16 1467100000000.0 21998000000000.0 6031150000000.0 227461000000.0 4252560000000.0 513277000000.0 2756010000.0 27229200000000.0 131523000000.0 4044020000.0 2825730000.0 273423000000.0 505423000000.0 1510700000000.0 1275170000000.0 -4.02 [-4.02]
30903000000000.0 1.07602e+16 1455270000000.0 20926100000000.0 5506690000000.0 234837000000.0 4099610000000.0 445640000000.0 3095310000.0 26482900000000.0 108461000000.0 3177290000.0 2898360000.0 291831000000.0 499057000000.0 1442290000000.0 1141100000000.0 -4.0 [-4.0]
