# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Z, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[2]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_nH log_Z parameters
158489000000000.0 1.02941e+20 127067000.0 62131300000.0 2099230000000.0 215522000000000.0 2430900000000000.0 20500.0 14810000.0 582201000.0 -5.0 -1.08 [-5.0,-1.08]
158489000000000.0 1.02959e+20 139254000.0 68121900000.0 2301820000000.0 236461000000000.0 2665800000000000.0 22481.8 16242300.0 638550000.0 -5.0 -1.04 [-5.0,-1.04]
158489000000000.0 1.02978e+20 152603000.0 74688500000.0 2523940000000.0 259455000000000.0 2923430000000000.0 24655.8 17813600.0 700369000.0 -5.0 -1.0 [-5.0,-1.0]
158489000000000.0 1.03e+20 167221000.0 81887000000.0 2767500000000.0 284710000000000.0 3206000000000000.0 27040.6 19537500.0 768202000.0 -5.0 -0.96 [-5.0,-0.96]
158489000000000.0 1.03024e+20 183224000.0 89777300000.0 3034540000000.0 312457000000000.0 3515970000000000.0 29657.1 21429000.0 842638000.0 -5.0 -0.92 [-5.0,-0.92]
158489000000000.0 1.03051e+20 200751000.0 98425000000.0 3327310000000.0 342940000000000.0 3855970000000000.0 32528.0 23504500.0 924326000.0 -5.0 -0.88 [-5.0,-0.88]
158489000000000.0 1.03081e+20 219939000.0 107902000000.0 3648290000000.0 376441000000000.0 4228970000000000.0 35678.2 25782200.0 1013980000.0 -5.0 -0.84 [-5.0,-0.84]
158489000000000.0 1.03115e+20 240935000.0 118287000000.0 4000170000000.0 413269000000000.0 4638190000000000.0 39135.3 28282100.0 1112400000.0 -5.0 -0.8 [-5.0,-0.8]
158489000000000.0 1.03153e+20 263905000.0 129665000000.0 4385900000000.0 453757000000000.0 5087200000000000.0 42929.4 31026000.0 1220450000.0 -5.0 -0.76 [-5.0,-0.76]
158489000000000.0 1.03196e+20 289034000.0 142130000000.0 4808700000000.0 498280000000000.0 5579900000000000.0 47093.8 34038100.0 1339090000.0 -5.0 -0.72 [-5.0,-0.72]
158489000000000.0 1.03245e+20 316511000.0 155782000000.0 5272080000000.0 547262000000000.0 6120620000000000.0 51665.4 37345300.0 1469390000.0 -5.0 -0.68 [-5.0,-0.68]
158489000000000.0 1.03301e+20 346543000.0 170732000000.0 5779870000000.0 601166000000000.0 6714110000000000.0 56684.9 40977000.0 1612500000.0 -5.0 -0.64 [-5.0,-0.64]
158489000000000.0 1.03364e+20 379349000.0 187098000000.0 6336240000000.0 660507000000000.0 7365650000000000.0 62196.9 44965900.0 1769740000.0 -5.0 -0.6 [-5.0,-0.6]
158489000000000.0 1.03436e+20 415161000.0 205004000000.0 6945660000000.0 725843000000000.0 8080980000000000.0 68250.4 49347500.0 1942520000.0 -5.0 -0.56 [-5.0,-0.56]
158489000000000.0 1.03517e+20 454339000.0 224643000000.0 7614440000000.0 797813000000000.0 8866580000000000.0 74901.9 54163000.0 2132480000.0 -5.0 -0.52 [-5.0,-0.52]
158489000000000.0 1.03611e+20 497297000.0 246235000000.0 8349770000000.0 877129000000000.0 9729600000000000.0 82214.5 59458500.0 2341410000.0 -5.0 -0.48 [-5.0,-0.48]
158489000000000.0 1.03711e+20 544230000.0 269894000000.0 9156160000000.0 964534000000000.0 1.06773e+16 90249.4 65278600.0 2571130000.0 -5.0 -0.44 [-5.0,-0.44]
158489000000000.0 1.0381e+20 595450000.0 295795000000.0 10039700000000.0 1060790000000000.0 1.17169e+16 99070.6 71670200.0 2823490000.0 -5.0 -0.4 [-5.0,-0.4]
158489000000000.0 1.0392e+20 651400000.0 324190000000.0 11009100000000.0 1166950000000000.0 1.2859e+16 108769.0 78699300.0 3101150000.0 -5.0 -0.36 [-5.0,-0.36]
158489000000000.0 1.04043e+20 712537000.0 355342000000.0 12073600000000.0 1284090000000000.0 1.41141e+16 119435.0 86433400.0 3406790000.0 -5.0 -0.32 [-5.0,-0.32]
158489000000000.0 1.04182e+20 779258000.0 389489000000.0 13241700000000.0 1413410000000000.0 1.5494e+16 131171.0 94946300.0 3743390000.0 -5.0 -0.28 [-5.0,-0.28]
158489000000000.0 1.04339e+20 852050000.0 426927000000.0 14524000000000.0 1556250000000000.0 1.70115e+16 144088.0 104321000.0 4114260000.0 -5.0 -0.24 [-5.0,-0.24]
158489000000000.0 1.04516e+20 931448000.0 467986000000.0 15932100000000.0 1714110000000000.0 1.86811e+16 158313.0 114650000.0 4523180000.0 -5.0 -0.2 [-5.0,-0.2]
158489000000000.0 1.04717e+20 1017980000.0 513010000000.0 17478600000000.0 1888730000000000.0 2.05193e+16 173987.0 126039000.0 4974380000.0 -5.0 -0.16 [-5.0,-0.16]
158488000000000.0 1.04932e+20 1112160000.0 562326000000.0 19175200000000.0 2081690000000000.0 2.2541e+16 191248.0 138588000.0 5471880000.0 -5.0 -0.12 [-5.0,-0.12]
